# bc_id=2
# bc_label=BC3b_no_global_with_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=gamma*(2*I_neighbor*sin(delta))
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026400751 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024032496
trajectory_id,valid,time_averaged_flux,max_I_left,max_I_right
0,1,-0.18997645332319274,31.232894897460938,33.403827667236328
1,1,-0.18397562140409196,31.236989974975586,36.266582489013672
2,1,-0.18311708785265865,29.758510589599609,30.514150619506836
3,1,-0.11319942619272011,46.681541442871094,35.618385314941406
4,1,-0.24722692438310012,28.847223281860352,33.450702667236328
5,1,-0.14892294291403824,27.654184341430664,31.259418487548828
6,1,-0.089271535409955791,34.127429962158203,35.948451995849609
7,1,-0.24231916677658064,24.814785003662109,29.548583984375
8,1,-0.19466261874396365,38.130317687988281,47.265331268310547
9,1,-0.18091005004519323,30.123785018920898,33.301231384277344
10,1,-0.19667740144520149,32.509220123291016,45.032691955566406
11,1,-0.16016606686254187,29.658557891845703,31.559038162231445
12,1,-0.22702824765729229,40.053821563720703,31.80699348449707
13,1,-0.20463878830973187,31.882379531860352,36.944637298583984
14,1,-0.17238612908962048,31.214460372924805,33.565872192382812
15,1,-0.15394226505842565,29.004056930541992,32.751571655273438
16,1,-0.10063464541627073,37.105846405029297,39.077720642089844
17,1,-0.22933236716601646,32.386009216308594,28.920724868774414
18,1,-0.19061900292993317,33.615509033203125,28.661731719970703
19,1,-0.19141494322421135,37.138969421386719,30.303842544555664
20,1,-0.21968138519079669,49.547309875488281,34.034454345703125
21,1,-0.2183148994877703,32.427822113037109,30.158452987670898
22,1,-0.21036352337894401,37.433757781982422,34.202289581298828
23,1,-0.22529190785395301,33.0992431640625,29.003286361694336
24,1,-0.16901311413856671,31.34722900390625,27.803926467895508
25,1,-0.21576023310343684,46.63720703125,34.609016418457031
26,1,-0.17603492311710381,30.929714202880859,33.15081787109375
27,1,-0.20669528032462828,32.525260925292969,30.435390472412109
28,1,-0.16845124207979173,31.320701599121094,34.346492767333984
29,1,-0.13821213877993463,32.114845275878906,37.417350769042969
30,1,-0.25751432661415524,30.093399047851562,32.344676971435547
31,1,-0.21441794646443044,32.531803131103516,31.946140289306641
32,1,-0.27035477679003128,33.780479431152344,36.688343048095703
33,1,-0.23574658233978923,28.113256454467773,33.417915344238281
34,1,-0.18175756572369819,35.093242645263672,38.811973571777344
35,1,-0.21126102514570833,27.163259506225586,32.592693328857422
36,1,-0.14014783629604555,34.000583648681641,32.829868316650391
37,1,-0.19135990437732267,34.168235778808594,36.573085784912109
38,1,-0.16906217536187912,29.355108261108398,35.767017364501953
39,1,-0.20877307661905414,29.047685623168945,28.395795822143555
40,1,-0.23505607444355023,34.057075500488281,35.267189025878906
41,1,-0.18296813236816556,35.845405578613281,35.111099243164062
42,1,-0.11242888705282056,33.291324615478516,47.173351287841797
43,1,-0.23672900236190123,30.022207260131836,35.331924438476562
44,1,-0.20534423169992849,28.768953323364258,32.147331237792969
45,1,-0.25370659390040534,33.123153686523438,34.56585693359375
46,1,-0.23573043900874205,28.674581527709961,29.419149398803711
47,1,-0.1212988219867313,28.485015869140625,28.976953506469727
48,1,-0.26946675199701925,30.774303436279297,37.415180206298828
49,1,-0.17501092619375905,31.146726608276367,37.5029296875
50,1,-0.19499888375070043,31.452836990356445,40.199741363525391
51,1,-0.18278322977923089,30.898948669433594,30.739398956298828
52,1,-0.24954420147575704,31.951904296875,36.339340209960938
53,1,-0.22002159282105921,32.752452850341797,27.528520584106445
54,1,-0.18321099907904007,31.591396331787109,31.090785980224609
55,1,-0.19565453820785469,32.558231353759766,43.855022430419922
56,1,-0.13587586399483884,29.496549606323242,29.051237106323242
57,1,-0.14274193162527041,28.302265167236328,28.872554779052734
58,1,-0.27512040036639213,33.310150146484375,31.74287223815918
59,1,-0.075254222298541756,31.204444885253906,33.503971099853516
60,1,-0.17646380701865783,29.811447143554688,32.625900268554688
61,1,-0.24331328429584981,34.091987609863281,36.569664001464844
62,1,-0.179733366772732,26.36113166809082,30.910903930664062
63,1,-0.12448985278535929,31.658473968505859,28.534614562988281
64,1,-0.14611519009589508,34.451683044433594,44.969879150390625
65,1,-0.27107009548242167,32.520599365234375,34.388553619384766
66,1,-0.17398916803240599,32.259540557861328,34.476833343505859
67,1,-0.11312144606923968,27.796676635742188,31.313266754150391
68,1,-0.15640109872167382,31.581991195678711,32.885074615478516
69,1,-0.13664874926244858,34.88092041015625,33.113746643066406
70,1,-0.24889433833061894,27.570667266845703,31.634645462036133
71,1,-0.16409571642639009,30.134038925170898,31.221742630004883
72,1,-0.21632526105502059,28.599601745605469,30.490852355957031
73,1,-0.19490828749309688,32.532550811767578,33.323684692382812
74,1,-0.12114125208702362,27.474834442138672,34.557220458984375
75,1,-0.21387453358985675,34.737407684326172,27.717662811279297
76,1,-0.28519945970575344,29.986656188964844,31.941461563110352
77,1,-0.22598205390227882,34.103805541992188,32.606407165527344
78,1,-0.12121475669320289,33.665313720703125,34.149539947509766
79,1,-0.19210025891313412,30.852519989013672,35.776371002197266
80,1,-0.16726854733436211,32.714626312255859,32.296596527099609
81,1,-0.24135364563952505,32.357593536376953,33.293464660644531
82,1,-0.22152117914645017,33.708034515380859,37.466659545898438
83,1,-0.20680972140913187,36.962261199951172,31.37409782409668
84,1,-0.17804419548066835,32.237556457519531,28.60772705078125
85,1,-0.1841940756330144,27.903152465820312,37.311836242675781
86,1,-0.11336420739084731,30.779434204101562,33.611766815185547
87,1,-0.10103646891007222,31.838939666748047,47.656574249267578
88,1,-0.25888974183802493,25.489284515380859,38.171245574951172
89,1,-0.18333260848552796,35.773452758789062,38.350017547607422
90,1,-0.18568501547998037,27.972702026367188,33.647975921630859
91,1,-0.1052481946211043,30.351890563964844,31.155231475830078
92,1,-0.15457098295796351,27.827957153320312,33.067356109619141
93,1,-0.1261629729824936,31.171924591064453,34.022811889648438
94,1,-0.25295128878768769,33.116340637207031,48.937339782714844
95,1,-0.21116611438824456,29.424118041992188,28.551815032958984
96,1,-0.13170006538629772,29.07594108581543,30.433094024658203
97,1,-0.23490534127781537,32.580024719238281,26.994945526123047
98,1,-0.14418535349544542,32.984527587890625,32.898021697998047
99,1,-0.26016066191498338,30.503437042236328,33.791774749755859
100,1,-0.13455339728783378,32.203948974609375,35.683868408203125
101,1,-0.1711463338730482,30.927021026611328,37.289802551269531
102,1,-0.10030648142373456,33.305229187011719,30.081415176391602
103,1,-0.15501924487817073,33.429878234863281,32.212284088134766
104,1,-0.2054300370953358,36.352420806884766,30.310127258300781
105,1,-0.20875951815826446,31.167196273803711,32.170616149902344
106,1,-0.1480537942286177,34.022495269775391,30.121242523193359
107,1,-0.18319542070676723,37.970344543457031,36.071506500244141
108,1,-0.14701778403970103,27.397998809814453,38.483600616455078
109,1,-0.19251128354788458,32.093463897705078,30.592435836791992
110,1,-0.15971370920537969,34.780654907226562,31.6339111328125
111,1,-0.2312021622815664,43.311466217041016,28.302394866943359
112,1,-0.17950932126262217,26.768135070800781,29.529937744140625
113,1,-0.17201168967541353,28.064374923706055,29.835624694824219
114,1,-0.24220012586393763,34.988872528076172,36.755725860595703
115,1,-0.23960277497977356,34.909824371337891,33.365341186523438
116,1,-0.15874339480229041,34.822200775146484,32.2178955078125
117,1,-0.26788558031564624,35.963314056396484,30.875215530395508
118,1,-0.15116109490992402,28.969392776489258,30.473207473754883
119,1,-0.25422112935677954,29.47068977355957,30.411623001098633
120,1,-0.072847141313038447,31.118146896362305,34.319599151611328
121,1,-0.22123308744169484,26.983253479003906,32.696804046630859
122,1,-0.26226771759143203,28.352451324462891,34.836036682128906
123,1,-0.27472201976608357,32.157844543457031,33.058921813964844
124,1,-0.23947037658596151,35.590621948242188,34.11053466796875
125,1,-0.26077770155584684,32.974025726318359,32.063144683837891
126,1,-0.24902833267924229,28.538963317871094,28.429586410522461
127,1,-0.14669617658966444,32.022018432617188,32.253726959228516
128,1,-0.32212312971613333,36.90826416015625,32.515151977539062
129,1,-0.13873660698832144,36.907154083251953,31.342239379882812
130,1,-0.26406814734976608,30.117223739624023,36.38006591796875
131,1,-0.18660502896201109,32.537395477294922,28.935276031494141
132,1,-0.15321757547087236,28.752437591552734,33.159473419189453
133,1,-0.26838147782857447,29.153039932250977,38.336376190185547
134,1,-0.13061107278797016,32.826187133789062,31.791191101074219
135,1,-0.21250695774498804,32.242733001708984,29.948633193969727
136,1,-0.15536748923079297,36.228435516357422,36.125080108642578
137,1,-0.14017271005824838,33.816810607910156,30.311317443847656
138,1,-0.17312028705133947,37.225856781005859,30.842536926269531
139,1,-0.21900654015160612,32.082485198974609,39.403759002685547
140,1,-0.15037668586407291,29.19282341003418,31.091836929321289
141,1,-0.16206420164503163,33.875423431396484,39.374217987060547
142,1,-0.16581836768167266,33.744232177734375,30.67839241027832
143,1,-0.24155856538279677,32.512012481689453,28.848457336425781
144,1,-0.22050135774563015,36.409019470214844,33.5986328125
145,1,-0.16856564493722292,28.141204833984375,34.076889038085938
146,1,-0.11390442430683213,35.983940124511719,28.420904159545898
147,1,-0.16806517238835136,33.722427368164062,32.378532409667969
148,1,-0.17968136075657321,27.491308212280273,31.651233673095703
149,1,-0.22822335649045045,30.424030303955078,36.338596343994141
150,1,-0.26484026466010091,35.909999847412109,30.364290237426758
151,1,-0.22026004965797472,27.743635177612305,33.049041748046875
152,1,-0.1610697267006552,33.497112274169922,42.278644561767578
153,1,-0.24467399552314817,34.116031646728516,29.72352409362793
154,1,-0.27058350515033514,34.077236175537109,28.899229049682617
155,1,-0.23469282716602011,29.562911987304688,28.08601188659668
156,1,-0.20514797597130466,27.125518798828125,35.252529144287109
157,1,-0.21650957545930777,32.680568695068359,29.087070465087891
158,1,-0.1996290727557315,30.420993804931641,34.090175628662109
159,1,-0.23219276747732273,31.369684219360352,30.477502822875977
160,1,-0.22674773512975366,30.449552536010742,27.866092681884766
161,1,-0.059362728386972013,34.116378784179688,33.049461364746094
162,1,-0.31512741478599737,31.25718879699707,38.297092437744141
163,1,-0.25368347531261509,32.967803955078125,32.223213195800781
164,1,-0.1455765846506627,28.596029281616211,30.914039611816406
