# bc_id=3
# bc_label=BC3_no_global_no_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=100 T1=6 Tn=6 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026311500 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1140679760
checkpoint_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
8000,1,2.3745492330044726,0.14814965524264265,0.033141322884148394,0.044167322673499064
8000,2,2.3255887392460863,0.15385477486961957,0.015563800599920796,0.044354794194625138
8000,3,2.6931002053038355,0.18616549573217228,0.093945782224182039,0.0447410266080559
8000,4,2.3771284675058268,0.14934144718341316,0.026421145736094331,0.043889646383993466
8000,5,2.7963057495799148,0.24502846983580368,-0.018023017702034849,0.042501600268117411
8000,6,2.8339007340309763,0.23413695820542568,-0.079432833574173856,0.042728857589899992
8000,7,2.6850451372974931,0.25328127460365124,0.021326197638586564,0.043913976674699332
8000,8,2.3955000434725662,0.16497259151279903,0.01474423632316757,0.041728072138532073
8000,9,2.4326368724864551,0.2039161260502361,-0.015156777153606527,0.043423308452237581
8000,10,2.1401913632087144,0.17773616875210491,-0.0073485127677486162,0.043089334812331972
8000,11,2.6487535563892379,0.19468850147698388,0.1169951697702345,0.042682983642246049
8000,12,2.6770004536215311,0.21203714652649056,0.0040215232766058762,0.042261090220532808
8000,13,2.6251779873418855,0.24575880278001119,-0.051798978081933456,0.04284014583430195
8000,14,2.9445564091583947,0.2746854512533084,0.05038483947464556,0.041542945443947675
8000,15,2.1900205585131971,0.18151232488262678,0.0065609490848146379,0.044207583207362018
8000,16,2.0514057954351301,0.17295206106871513,0.030524407287884969,0.043948515617207952
8000,17,2.508324448000252,0.22474206381369394,0.0035495487757088995,0.04377101944799841
8000,18,3.0749154937466301,0.31024856820583008,0.036046965451532742,0.044460949903808805
8000,19,2.7068848509879899,0.26690054367210087,0.059750948559667449,0.043557962582477537
8000,20,2.9658558678565896,0.295732199101435,0.0048684935936762486,0.043560445870345882
8000,21,2.6611962188108009,0.22994294933834414,0.038365765047274181,0.041868481397367915
8000,22,2.0320206431333645,0.1378277103987241,0.0075343219214119017,0.045159617658714714
8000,23,2.384240881585356,0.18639487976778332,-0.006525447461172007,0.04311562711147475
8000,24,2.6967338116128303,0.29960209185865433,-0.031952790672221454,0.043692112027887253
8000,25,2.5274882118674213,0.25079497969789871,-0.029195622455517878,0.043987041668116851
8000,26,3.0326827998815133,0.31757100033308205,-0.028319156092038611,0.042525241865780668
8000,27,2.7663237362030486,0.2770765054761668,0.050496754687628709,0.042362549347522899
8000,28,2.7411878287166473,0.29021436929561545,-0.054168795145415061,0.04267853936910513
8000,29,2.8050532941266937,0.282006648992571,0.010653785322574549,0.042569961019705178
8000,30,2.7593830495789007,0.24970753454398825,0.0081237311751465313,0.045048705142310692
8000,31,2.4090611510364397,0.23170649869451695,0.023272867387277074,0.045776712988675382
8000,32,2.6817260061397974,0.27778587966802709,-0.032781312072984292,0.044740302255223491
8000,33,2.5559471375127032,0.25324261572598045,-0.040940362119499696,0.045297979831593241
8000,34,2.0554835174443724,0.17697507438968715,0.011292223373857269,0.042791019936232536
8000,35,2.4770110984427447,0.25940022926049344,0.01777503622633958,0.044292117479139456
8000,36,2.4801648546044817,0.24276743618843188,-0.05002316678292118,0.042078347243622957
8000,37,2.6573806254382362,0.26533147762526926,-0.0020120540175412316,0.041990871387239621
8000,38,2.77262193347633,0.29917929008319055,-0.0016475574088872236,0.043174931310757808
8000,39,2.6277918587165914,0.25740844218848302,-0.011852859958253248,0.04463284752138149
8000,40,2.5233114959727914,0.27809614141905925,0.013093445677441196,0.043886238637134561
8000,41,2.4764091294055106,0.20959527733301783,0.0066421289564004837,0.044135586008370274
8000,42,2.4575637005409021,0.22410036515385259,0.048471659163624281,0.041995293036013043
8000,43,2.8685273829605649,0.31481315726556169,-0.045974299711474487,0.042527296708016041
8000,44,2.834995072134916,0.27865345071432768,0.028162424549009302,0.043112749082932451
8000,45,3.0295168289057983,0.33798982316735049,0.011318038101308048,0.043403334489788732
8000,46,2.4050409587998729,0.25436958253191355,-0.0010311692931281868,0.042949050667359392
8000,47,2.3605318410586733,0.26953645077987631,-0.037682175112422556,0.043922742002890862
8000,48,2.44482041261017,0.27813070795843531,-0.067270740546518937,0.042871653579191413
8000,49,2.3261777657517086,0.23133278055470352,0.013712659161683405,0.044233489496282162
8000,50,2.5148689431589446,0.24231294446358387,-0.039606663878657855,0.044285680790276852
8000,51,2.8046052999284257,0.30448706186362356,-0.039754120911766222,0.044282474272413393
8000,52,2.6667836476080993,0.2480874664727144,-0.10092078819843664,0.043688535790591329
8000,53,2.8335013271407661,0.28299448369448282,-0.071723628937888861,0.041448094855756734
8000,54,2.828736860546087,0.28296699917507512,0.028987079235776037,0.044298155108711913
8000,55,2.1605352924852923,0.18958816974283232,-0.0093401711073965998,0.045025689128654234
8000,56,2.5666908918537956,0.27627592084330632,-0.04768147674985812,0.04272187986000052
8000,57,3.2828268774446769,0.31626971412387717,0.076629150160442805,0.043098287210244397
8000,58,2.9306130836994271,0.30406451268560519,-0.07842822621751111,0.042896705701671332
8000,59,2.7388165426264095,0.31190528926483346,-0.0020803245442948537,0.044140716065701087
8000,60,2.3805528748885081,0.19422001863693464,-0.013838780162132025,0.043575955840048482
8000,61,2.2825072316016701,0.19712143448688829,0.027026322613508569,0.042091311188845591
8000,62,2.6806171182042817,0.25145095847887933,0.038483244290546281,0.043787045326975901
8000,63,2.8103387217888667,0.27062640925325604,-0.037368692587733676,0.043207872264772372
8000,64,2.858332081390472,0.31284053839206483,0.041135432704322739,0.045502231777099174
8000,65,2.6612765192172674,0.28749382951167884,0.041567092664990923,0.042653611448440411
8000,66,2.2915154885597531,0.22279167428858557,-0.10297960203570256,0.044449427992737163
8000,67,2.6063959298644477,0.27134145380652475,0.045024688326520845,0.043660363346600936
8000,68,2.8778307198335824,0.29282956633854618,-0.026228065747091023,0.044219983569424207
8000,69,2.4414977771084523,0.23678089149209217,-0.10314062708494021,0.044865909863012761
8000,70,2.2343365092820022,0.17268830251679745,0.059092785204484244,0.044719535445435957
8000,71,2.6156123390805988,0.24784091116319049,-0.025501067226286978,0.044725651245663849
8000,72,2.8926514804104499,0.23978694392472372,0.01522501004183141,0.042051823595781246
8000,73,2.8953067070215184,0.31599573913129225,0.048114144229657541,0.040664261948981817
8000,74,2.5773752004242851,0.26765788568369786,-0.060160208700835938,0.043950125025185985
8000,75,2.3924827106166049,0.2099822491068358,0.034672734946070705,0.045848440487349179
8000,76,2.3249099572421983,0.23424704958986453,-0.0035788819586741738,0.044348729817321728
8000,77,2.3397409127392166,0.20594740292304523,0.0087658145021123346,0.044195978956648591
8000,78,2.5683043871686095,0.20857578255604509,-0.0060449582269939128,0.041813190908287799
8000,79,2.6630830179892655,0.23332128198298133,6.2816147874400485e-05,0.04398856624105224
8000,80,2.3060812342069994,0.19586173680022639,0.061790830628979165,0.042882546472876967
8000,81,2.4232966654144548,0.19335046968073466,-0.042830731975300296,0.042647749977654664
8000,82,2.8338654072861118,0.27457844912794466,-0.046807472347609291,0.042045729844960619
8000,83,2.1882231157273964,0.20640146234278425,-0.019562784643312625,0.042296890959320349
8000,84,2.1124223180486297,0.19727243652615298,-0.051511494719306938,0.043979785285861731
8000,85,2.537483406777028,0.23153967389876778,-0.054377698552343645,0.043473044200457729
8000,86,2.5172275280710892,0.26107204234651882,-0.028743179969751509,0.046516815537115945
8000,87,2.6186418054858223,0.22337084231331669,-0.019835858799524431,0.04542887458238079
8000,88,2.4297187986262543,0.22970839995920306,-0.017852209977718303,0.043466746922863356
8000,89,2.3498205452092407,0.17070417196367652,-0.023292246718483511,0.044531262195715293
8000,90,2.6908442794316443,0.26646434594247081,-0.025522055917463149,0.043441865440452039
8000,91,2.61724181448335,0.28083516799648534,0.011573618299735244,0.042432420082412811
8000,92,2.6117692215100305,0.20373837138550896,-0.059748569217845215,0.041585167004333824
8000,93,2.8646392165173893,0.2730261075326717,0.041554064880983788,0.044139493629300974
8000,94,2.719215996143248,0.21877071521229852,-0.053871871826231654,0.043546040414658392
8000,95,2.1762776081814081,0.13108125999420828,-0.037832313937542494,0.044511746056840232
8000,96,2.3593917636117112,0.1756439847116443,-0.067346602978432202,0.043240480038253405
8000,97,2.4946163480562973,0.20134280710210176,0.036435866149986396,0.043263222482379557
8000,98,3.1433666002826612,0.24423431058399739,0.0064326702768084942,0.045634504650855327
8000,99,2.4177305831717604,0.20209488127894865,-0.071260923245063168,0.043169173340932829
8000,100,2.4504871017870755,0.14603215520274668,,
16000,1,2.3583446326338162,0.15063588657276189,0.04427783662413276,0.044109243902711169
16000,2,2.4505241743154329,0.14875947558792132,0.085594369682439719,0.043563886025574969
16000,3,2.7008402233623201,0.18143458421261507,0.081643257821269799,0.040928468740470202
16000,4,2.500959904758929,0.17934999841693702,0.015092052064574091,0.04287685731016589
16000,5,2.7961675662311904,0.26696982518499346,-0.0040214533378275519,0.042482617714956393
16000,6,2.6470487651095027,0.20298285281697712,0.009114727123233024,0.043492828095264502
16000,7,2.792301137191771,0.2230395498240893,-0.020810178107467436,0.043183600868150929
16000,8,2.5812732690537814,0.19696398503726509,0.071882824090607755,0.042025506633166933
16000,9,2.2688036218060006,0.21301440710743763,0.068969486732385121,0.043873353747604996
16000,10,2.7467606315782973,0.24111614810556797,-0.026399123138617142,0.044091189914882888
16000,11,2.4457107429225289,0.20815678300608664,-0.015928485252516111,0.044006393142966553
16000,12,2.7526552358185654,0.24887124458052559,0.069612285849871114,0.042455843013804312
16000,13,2.7898333382800047,0.28734155015430485,0.057129299018924939,0.045258692931366362
16000,14,2.53316006712339,0.22804283316265223,0.013659503840244724,0.04230892814926928
16000,15,2.7579758256451896,0.23444408190530203,0.030509027342304762,0.044244286459480982
16000,16,2.591325944138589,0.25600794415591382,-0.011145832784677623,0.044436308332339892
16000,17,2.9547533019704133,0.25640286539168361,0.07693313095751364,0.042918158136867578
16000,18,2.7900595242099371,0.25047176764847418,-0.099021313835692126,0.041064244323644611
16000,19,3.0181911048020993,0.298932380218142,0.051944048145742272,0.042088618119871746
16000,20,2.7847129089605005,0.22320206536739001,0.088600082573975669,0.043140275258938272
16000,21,2.1627673678121937,0.18734998694638622,0.039652813523844088,0.042526503969645177
16000,22,2.3217341984636732,0.1983927658819295,0.10252125520582922,0.042629525336213191
16000,23,2.5542801166029676,0.22470472851021359,-0.080697830104327295,0.042560475723723165
16000,24,2.6793368513499445,0.24419105871916383,-0.024956440386631584,0.041834443992843792
16000,25,3.1386258980545563,0.30204316275225584,0.028721985113406845,0.042482656126235974
16000,26,3.3037334867576647,0.33664799419354835,0.00398390855997377,0.042623552337894506
16000,27,2.4986891266162274,0.20504422524427832,0.013337535533992195,0.04412187134853382
16000,28,2.7982724443063489,0.25409869817183223,-0.093081627535866573,0.042475856537509064
16000,29,2.7212037749159208,0.2835309076058552,0.0093537099376135302,0.04373552523798023
16000,30,2.6829472429848238,0.24175145143898816,-0.064764735179778654,0.042070207626623203
16000,31,2.4245890817146574,0.22550098556880604,-0.10956962583850327,0.043922796261787057
16000,32,2.5741552454055636,0.25103764421070768,0.015495064085712329,0.042465890996263064
16000,33,2.5773929557672091,0.25738072971975134,0.056495067321520764,0.044249982575809393
16000,34,2.3280588669701956,0.24835141777620709,-0.074640588100010063,0.044813300022086625
16000,35,2.7968839104432845,0.27089539794809675,-0.025692008013720624,0.042835475378495899
16000,36,2.66973409660568,0.25172178580222465,0.012680347721470753,0.043547195187662806
16000,37,2.48122233646734,0.24889337413317505,0.018838990403310163,0.043513213208118004
16000,38,2.7200245892186103,0.24471396117170252,0.025782830038224347,0.042769414028661794
16000,39,3.0780128623882774,0.28801747615985013,-0.011621729540820525,0.041516819342394075
16000,40,2.7513130635411471,0.25995474597876905,0.086072236558720761,0.041797072975556265
16000,41,2.6795952982720337,0.32046508601634943,0.086459946443937952,0.042260728054044142
16000,42,2.5740613637426577,0.24757915973547476,0.017579566165295546,0.044532269486239985
16000,43,2.2398264973510322,0.21019576732708131,0.048076961224069237,0.044169329299504102
16000,44,2.3698576170936576,0.24284702685095447,-0.023670317811365749,0.042815977020838357
16000,45,2.7139696299454954,0.29558071260168506,-0.029382791466559866,0.044362592995640535
16000,46,2.3316674030247668,0.2137205827322311,0.0052525306609823019,0.042973773872220934
16000,47,2.4761486556199088,0.26758129711930961,0.061783755896613002,0.04407471384921556
16000,48,2.5867036392883165,0.2750140877546764,0.036588411247976182,0.043020839036676396
16000,49,2.9008351656357263,0.29646294051567179,0.12179371319530219,0.043210974744809616
16000,50,3.2680092131195124,0.33395158223360283,0.0073312440495101328,0.042389088043156546
16000,51,2.9238094385491422,0.28594253530847191,0.0046172226257112925,0.044274352024623646
16000,52,2.98875612169563,0.25132785826331977,0.04037258342577843,0.043269606113472546
16000,53,3.1003970106321503,0.3261844463742346,0.012255761146661825,0.041518090960703989
16000,54,3.2054635339736706,0.3920646901976152,0.0090800018169829855,0.043571950010576115
16000,55,2.4358328670234641,0.24923397782769713,-0.047213888738951937,0.04327087859556588
16000,56,2.7048571970963167,0.27079364321254823,-0.017233683005542844,0.044236386341044057
16000,57,2.8221911147052197,0.27713641598962052,0.037457336681200104,0.044398165983319603
16000,58,2.5497911312345423,0.25404786817270969,-0.058192889207930421,0.04362364754364418
16000,59,2.8946519913934026,0.33659808382453266,0.049155453612911515,0.044027001481357915
16000,60,2.722767997353003,0.26355014159778484,0.0083875168274971657,0.042122985977684144
16000,61,3.2153657536432547,0.34341750260719561,0.064253700511471834,0.040842893242135844
16000,62,3.1276582313475956,0.30952586031293589,-0.03109887960999913,0.044214691395111916
16000,63,2.4943732746542082,0.233339613365487,0.039673186374784564,0.043833765828953181
16000,64,2.3842826067175338,0.24561960815955342,-0.0070185000140554621,0.042793702052077012
16000,65,2.108975824303343,0.20969308555382371,-0.020583792242632626,0.043819363712223086
16000,66,2.6950679160718209,0.28257317201776261,0.05248271912932978,0.043542898990873005
16000,67,2.6555714488113153,0.23528501855329151,0.0010190798784606159,0.045282167251078059
16000,68,2.6475887876667912,0.25517968852806472,-0.056702928070535563,0.044102766859334869
16000,69,2.6608170742192669,0.30346144098123229,0.063060375861823559,0.044770792584407304
16000,70,2.1667523563089617,0.20590981451195378,-0.027550796328796423,0.043643225775835404
