# bc_id=3
# bc_label=BC3_no_global_no_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=4 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=0.02 measure=0.04 seed=2026090503 requested_trajectories=16 valid_trajectories=16 discarded_trajectories=0 integration_step_samples=1296
trajectory_id,valid,time_averaged_flux,max_I_left,max_I_right
0,1,-0.0079778589101301301,2.4512579441070557,0.10120686143636703
1,1,-0.0071938218416669128,1.7084571123123169,0.22254973649978638
2,1,-0.0044903402607658028,1.1676894426345825,0.15831749141216278
3,1,-0.006854537512279219,1.7908514738082886,0.13576418161392212
4,1,-0.0072903479075772165,1.7934019565582275,0.10805549472570419
5,1,-0.0081129545564360816,2.1068193912506104,0.099671371281147003
6,1,-0.0033069419111182662,1.0442042350769043,0.25481027364730835
7,1,-0.0078084421930489723,1.7917565107345581,0.41591650247573853
8,1,-0.0060954851552522116,1.9038026332855225,0.20883673429489136
9,1,-0.0074145441708143491,1.7023824453353882,0.12234234809875488
10,1,-0.0074595110174728403,1.6884585618972778,0.11332134902477264
11,1,-0.006748685432184074,1.6937673091888428,0.26795279979705811
12,1,-0.0036371454803480045,1.1651545763015747,0.24786591529846191
13,1,-0.0032488488632449763,1.0182321071624756,0.1994650661945343
14,1,-0.0042544645947162757,1.5950734615325928,0.3878369927406311
15,1,-0.0060766042601087212,1.6745208501815796,0.1063387468457222
