# bc_id=1
# bc_label=BC2_no_phase_drift
# b_I=2*gamma*(2*T-(2*M*I-I^2+2*I*I_neighbor*cos(delta)))
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=4 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=0.02 measure=0.04 seed=2026090501 requested_trajectories=16 valid_trajectories=16 discarded_trajectories=0 integration_step_samples=1296
trajectory_id,valid,time_averaged_flux,max_I_left,max_I_right
0,1,-0.0036253428782255935,1.0386056900024414,0.2869313657283783
1,1,-0.0046536410486118672,1.5721138715744019,0.23844537138938904
2,1,-0.00043812520050042934,1.0324077606201172,0.37244883179664612
3,1,-0.0037708855464042706,1.1628948450088501,0.22965684533119202
4,1,-0.011216453512279709,2.7278017997741699,0.1068447008728981
5,1,-0.0057375652278647011,1.4624490737915039,0.17479726672172546
6,1,-0.006722102924767469,1.6882809400558472,0.1619316041469574
7,1,-0.004931383967445589,1.1039003133773804,0.14457243680953979
8,1,-0.007552294807945505,1.6852928400039673,0.13907775282859802
9,1,-0.0077215515243832349,1.9575328826904297,0.16977372765541077
10,1,-0.006008025316268574,1.3109363317489624,0.19451667368412018
11,1,-0.0061421193481411467,1.6349307298660278,0.36091947555541992
12,1,-0.0032903755753427555,0.99544000625610352,0.13297855854034424
13,1,-0.0065292295005264468,1.6185499429702759,0.18114744126796722
14,1,-0.0045520599161125259,1.300934910774231,0.30277469754219055
15,1,-0.0031039769082893561,0.95264589786529541,0.21919634938240051
