# bc_id=0
# bc_label=BC1_canonical
# b_I=2*gamma*(2*T-(2*M*I-I^2+2*I*I_neighbor*cos(delta)))
# b_phi=gamma*(2*I_neighbor*sin(delta))
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026100751 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
trajectory_id,valid,time_averaged_flux,max_I_left,max_I_right
0,1,-0.022637616529232001,4.9195194244384766,7.3135323524475098
1,1,-0.021311240648292325,4.6896719932556152,6.848487377166748
2,1,-0.020446251526942863,5.0007524490356445,6.9344315528869629
3,1,-0.03981503897828792,4.0645771026611328,5.989102840423584
4,1,-0.024552542018794123,5.0013489723205566,6.4787893295288086
5,1,-0.032044958115013018,4.9335155487060547,6.973961353302002
6,1,-0.031864855338270812,4.5103044509887695,5.9318175315856934
7,1,-0.023470459586212942,4.312413215637207,6.7730369567871094
8,1,-0.022720024554945189,5.34393310546875,6.3646330833435059
9,1,-0.023825573015542036,4.4160289764404297,7.042290210723877
10,1,-0.018365786343369835,4.0045285224914551,6.4043092727661133
11,1,-0.028147568778438721,3.9463119506835938,7.317319393157959
12,1,-0.025245604400337008,4.8079299926757812,6.6439986228942871
13,1,-0.02934592069820248,4.4577827453613281,7.1332836151123047
14,1,-0.02491827276611739,4.534975528717041,6.1167616844177246
15,1,-0.022421900790510652,5.2872481346130371,6.1951999664306641
16,1,-0.023969978576305482,5.0024738311767578,6.850776195526123
17,1,-0.029491298709886708,5.7945690155029297,5.9947619438171387
18,1,-0.037764528301369095,5.802119255065918,6.6700739860534668
19,1,-0.027280537367188024,4.9876370429992676,6.5411810874938965
20,1,-0.014060646883634129,4.8452892303466797,6.0463881492614746
21,1,-0.024166298721350184,4.8159317970275879,6.6005773544311523
22,1,-0.017701197677340852,4.3884482383728027,7.6785483360290527
23,1,-0.032323941738669017,4.827610969543457,5.5972328186035156
24,1,-0.023087864839091095,4.4368720054626465,6.5214142799377441
25,1,-0.029953571132170755,4.0842828750610352,9.4199247360229492
26,1,-0.022429781996443687,4.5366616249084473,6.8955297470092773
27,1,-0.035837499424303809,4.2989606857299805,6.4912519454956055
28,1,-0.016258784370382882,4.7535085678100586,6.3851165771484375
29,1,-0.022721135155886769,6.5363297462463379,5.9184451103210449
30,1,-0.031561981994192856,3.9010331630706787,6.5136122703552246
31,1,-0.016614333886822936,4.2953658103942871,6.3956551551818848
