j,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
1,0.43904655346487265,0.0010812587541072683,512,0.0041611871964259885,0.00017953114906120806
2,0.42420643704792416,0.0011951923501203289,512,0.007782611225166099,0.0005174412689064341
3,0.4290459464653712,0.0012715469961777908,512,0.00892615874726414,0.0004941945147598991
4,0.43242868049774386,0.0012784857060422533,512,0.008840198454954921,0.0005031382144140593
5,0.43421900312679274,0.001352957040739513,512,0.008384710450420774,0.0004961740367666207
6,0.4383795253549493,0.0013537545175916043,512,0.00832856460931917,0.0005170377609675384
7,0.43950170662410143,0.001391479953855994,512,0.00873753862320929,0.0005349610977276317
8,0.44134440002234276,0.0013602681889303455,512,0.008107317315484447,0.0005035418390301568
9,0.443520113626124,0.0013420471797109608,512,0.0077984532793948826,0.0005281311798213303
10,0.44569930364470284,0.0013975857108022803,512,0.008576356111879204,0.0005238652561963547
11,0.4465625498643284,0.0014691208982335329,512,0.007869594584865946,0.0005090725342317774
12,0.44901510895937047,0.0015321544473446348,512,0.0069864979860964965,0.00049226714920448
13,0.45142878064936887,0.0015588706026097214,512,0.007356846970709766,0.0005083813582464343
14,0.4532231236999207,0.001525908557828976,512,0.006760706381074506,0.0005195068415107452
15,0.45527561740943573,0.001582287836596532,512,0.006634090216277073,0.000531746215257526
16,0.4556545937308786,0.0016579613017736919,512,0.005900531087637006,0.00052834075777705
17,0.45783362257252996,0.0016229941632897227,512,0.005640101404984634,0.0005081606813348433
18,0.45991521758650544,0.0016530049329213548,512,0.005916568052241136,0.0005088107556547697
19,0.462801190097017,0.001767090009347876,512,0.005836379090605593,0.0005096656789342261
20,0.464153125344438,0.0018352953056836796,512,0.005634738324651117,0.0004985097935731767
21,0.4650076094271811,0.0018696935101690775,512,0.005455444849172384,0.0005090761415729218
22,0.46688440898477634,0.0019108581741545698,512,0.005636619638124589,0.0005004800851827457
23,0.46879687369521883,0.0019971839058859934,512,0.004957715010069837,0.0005187997785038768
24,0.47017327144423793,0.0020190172651227242,512,0.004466727771151519,0.000477497297911941
25,0.46997424115029884,0.002025897835562148,512,0.003564106577569407,0.0005092739075257979
26,0.47204904609387266,0.0020822710100583787,512,0.003064753317793236,0.0005064200685017524
27,0.4744420834713786,0.002257306448698214,512,0.0039174550751257375,0.0005094267037865418
28,0.4764268735788733,0.0023891571656205653,512,0.0034310119981534014,0.0005085638268848702
29,0.4781142602336035,0.0025689713676088914,512,0.0036125539358014686,0.0005210738588596604
30,0.4803671041970362,0.0025731837581045663,512,0.003920949748347188,0.0005072798681081034
31,0.48063223204158256,0.002600199836251888,512,0.004112773306851893,0.00048081033647297136
32,0.4813502020568464,0.002595694845240948,512,0.0036089869256005084,0.0005086360047382767
33,0.4814857181119055,0.002595242818560937,512,0.004291653657070996,0.0005124720253721208
34,0.4801517006722165,0.002641805587481754,512,0.0032851704126190713,0.0005114328645632992
35,0.4812837782906223,0.0026436736139592684,512,0.0027016963953566597,0.0005279351652928599
36,0.4816245869003345,0.0027649194933042536,512,0.003208780619545066,0.0005315854267342143
37,0.4822190643415144,0.0029708111874399484,512,0.0030099615691824943,0.0005078405526060898
38,0.4822214968149203,0.0030222999159749374,512,0.0034704033143072473,0.0004919500524598261
39,0.48199816572711485,0.0031077704715546063,512,0.002342828833897542,0.0004954389452835834
40,0.4818881698079309,0.0032297056151045045,512,0.0019057215675145525,0.0005095460482219746
41,0.48084439390844974,0.0032353945440598995,512,0.0020463007411279637,0.0005258757575029967
42,0.4811432880815095,0.003232659398663152,512,0.001583340306938501,0.0004943770263878062
43,0.48196933415224713,0.0033115593622095947,512,0.0012574852273515172,0.0005060410532728896
44,0.482312269702995,0.003372600961121507,512,0.0008317709493229795,0.00047741404847030015
45,0.483111252164264,0.003446907192394865,512,0.00022712707612499008,0.0005034808656143768
46,0.4823493795242284,0.0035325605639140198,512,0.0006940872885292464,0.0005084711474217887
47,0.4823821099057616,0.003631494406402825,512,-5.5327982748243685e-05,0.0004967055912830397
48,0.4827688244874385,0.0037951488993580146,512,0.00017488143429327912,0.0004560589849713153
49,0.47171629299580853,0.0035658225964638806,512,0.00031488546216042884,0.00046514333276739714
50,0.4044390360529271,0.0020694294067997976,512,nan,nan
