j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,abs_relative_delta_I,z_delta_I,sample_count
1,0.30518504763500065,0.3054543742757041,0.0002693266407032325,0.0009223184241430384,0.000882113506070418,0.000882113506070418,0.2920104745315852,512
2,0.290299870795826,0.28935023478970456,-0.000949636006121649,0.002194022650101685,-0.0032765835698843845,0.0032765835698843845,-0.43282871581915383,512
3,0.29520341277742235,0.2953832773094298,0.0001798645320074971,0.0024515839267059635,0.0006091045904913504,0.0006091045904913504,0.07336666309815856,512
4,0.29592889588890703,0.29759353698506197,0.0016646410961549802,0.002620497075599615,0.0056093620188689885,0.0056093620188689885,0.6352386772933458,512
5,0.29852440020033294,0.2974533152391309,-0.0010710849612020836,0.0026205907691437603,-0.0035943792308149765,0.0035943792308149765,-0.4087188941568488,512
6,0.30020364501239877,0.29877158340513954,-0.001432061607259118,0.0027916379331072412,-0.0047817056175847245,0.0047817056175847245,-0.5129825720863298,512
7,0.3026923679841008,0.30112054860342674,-0.0015718193806742542,0.0030364053203674377,-0.005206312543154768,0.005206312543154768,-0.5176579589460234,512
8,0.30264065110060057,0.30333349728746817,0.0006928461868677488,0.0032196576598178235,0.0022867186288747315,0.0022867186288747315,0.2151925018347919,512
9,0.30486214078979396,0.3053297184155298,0.0004675776257353868,0.003368463204029358,0.0015325593702424384,0.0015325593702424384,0.13881037060938356,512
10,0.30304368670997733,0.30379999348768727,0.0007563067777100456,0.0033114076870916654,0.0024925917576127574,0.0024925917576127574,0.22839434137277512,512
11,0.30528288974084555,0.3069661453875796,0.0016832556467340288,0.0035492499736469274,0.005498597956568277,0.005498597956568277,0.4742567188088048,512
12,0.30701802319075955,0.30651605466010834,-0.0005019685306514319,0.0036676504227190353,-0.001636318335926063,0.001636318335926063,-0.13686378820130146,512
13,0.30850184899238403,0.3067713196281375,-0.0017305293642464303,0.003674075623335586,-0.005625239170192903,0.005625239170192903,-0.4710108178653474,512
14,0.3073516791699027,0.3063391549384896,-0.0010125242314131203,0.0036770774688504103,-0.003299786065353828,0.003299786065353828,-0.27536113666097783,512
15,0.3086727816724585,0.30786775200590744,-0.0008050296665508015,0.003998063341803764,-0.0026114411707787756,0.0026114411707787756,-0.20135490554474428,512
16,0.3107310399168475,0.30788184187557815,-0.002849198041269412,0.004036894222501548,-0.00921157035402782,0.00921157035402782,-0.7057896204929159,512
17,0.30902425092812275,0.310192386067261,0.0011681351391382901,0.004011301910016831,0.00377294494155201,0.00377294494155201,0.29121097472650437,512
18,0.310286203219314,0.3111416576426661,0.0008554544233521025,0.004015606240634947,0.002753189797977532,0.002753189797977532,0.2130324469305631,512
19,0.30959678277996605,0.3113449002731258,0.0017481174931598055,0.004088368279052114,0.005630536782663817,0.005630536782663817,0.4275831759376397,512
20,0.3078721234713061,0.3142897407948207,0.0064176173235145064,0.004020047273301568,0.020630056877833324,0.020630056877833324,1.5964034468290897,512
21,0.3088679724682116,0.3161940531413767,0.007326080673165084,0.004042202432949886,0.023441131833342024,0.023441131833342024,1.8123982642350536,512
22,0.31362226211069716,0.31867186218477783,0.005049600074080583,0.004506925048682106,0.015972313769978586,0.015972313769978586,1.120409152479064,512
23,0.3158105527179187,0.3210558012055599,0.0052452484876411905,0.004663345014660958,0.01647205400419512,0.01647205400419512,1.124782419304341,512
24,0.31545822702849147,0.3216844233264128,0.0062261962979213055,0.004768202663716208,0.019544120282806873,0.019544120282806873,1.3057742585691139,512
25,0.3168539672022636,0.32366892486834087,0.006814957666077419,0.004747936656914941,0.021279357070429918,0.021279357070429918,1.4353514291628233,512
26,0.3177249423381271,0.3248806133017791,0.007155670963651937,0.0048181393345229275,0.022270803297137154,0.022270803297137154,1.4851523517346479,512
27,0.31845926390442114,0.3277531661139638,0.009293902209542654,0.004823047339156437,0.02876423224876142,0.02876423224876142,1.926977190144723,512
28,0.32016204035716067,0.32764925867116074,0.007487218313999931,0.004840180959712585,0.02311542983344167,0.02311542983344167,1.5468880970195233,512
29,0.3262465441014799,0.3277957032880323,0.0015491591865522928,0.004869069067306743,0.004737183852374898,0.004737183852374898,0.31816332139424514,512
30,0.325789753432054,0.3281593102339915,0.002369556801937488,0.004871318230597006,0.0072469154972215335,0.0072469154972215335,0.48643030279856836,512
31,0.3256763799828418,0.32985617796756317,0.004179797984721438,0.004943560379316096,0.012752373422275282,0.012752373422275282,0.8455035771808821,512
32,0.3244297662427814,0.3298214681967697,0.005391701953988104,0.004926199036577156,0.016482053590947454,0.016482053590947454,1.094495353101768,512
33,0.32325816511028416,0.3312267374415142,0.007968572331229783,0.004969765283064451,0.02435066813660876,0.02435066813660876,1.6034101969331258,512
34,0.3246089329978348,0.3324863091905757,0.007877376192741235,0.0050485539687592515,0.023976360463381766,0.023976360463381766,1.5603232611727835,512
35,0.32824029639810837,0.3325915220974468,0.004351225699338629,0.005196368146117536,0.013168935204253928,0.013168935204253928,0.8373590124844493,512
36,0.3283147181799442,0.33238540326005195,0.004070685080107755,0.005345933974028879,0.012322337920070895,0.012322337920070895,0.7614544249673826,512
37,0.329235795345392,0.3326548447158093,0.0034190493704173417,0.005509178992029172,0.0103311609606723,0.0103311609606723,0.6206095999719947,512
38,0.32907674836302714,0.334712809236427,0.005636060873399866,0.005330297714397664,0.01698146892753861,0.01698146892753861,1.0573632422399795,512
39,0.3296176085704343,0.3330498601384439,0.003432251568009517,0.0052545818411930114,0.010358895615313106,0.010358895615313106,0.6531921419707588,512
40,0.3318833861604047,0.33271208970307664,0.000828703542672102,0.005287620389120915,0.002493858513241914,0.002493858513241914,0.15672523397805355,512
41,0.3335185320700918,0.3325325400399711,-0.000985992030120451,0.00542319581169718,-0.002960709985787753,0.002960709985787753,-0.18181014743996243,512
42,0.33260655716689025,0.3337473966532677,0.0011408394863774048,0.0055212746502862915,0.0034241246107629625,0.0034241246107629625,0.20662610694765013,512
43,0.3319444035960552,0.3342682127095782,0.002323809113522777,0.005585826417790055,0.006976178645217071,0.006976178645217071,0.41601885553080903,512
44,0.32985572426599,0.3376354636656742,0.0077797393996844365,0.005642933579991357,0.023310388332739764,0.023310388332739764,1.3786693196726147,512
45,0.3301567890374092,0.3384511830464759,0.008294394009066508,0.005914691981747909,0.024810933627413805,0.024810933627413805,1.4023374394917094,512
46,0.3288295800343122,0.3401700508756429,0.011340470841330807,0.005944188920362664,0.03390277159317953,0.03390277159317953,1.9078247668882817,512
47,0.32771064414588363,0.3389090841144642,0.011198439968580474,0.0057336392776864585,0.03359768543845714,0.03359768543845714,1.953112050868167,512
48,0.32810506480864016,0.3377019389362629,0.00959687412762267,0.005736248926531827,0.028827795663440063,0.028827795663440063,1.6730226059811182,512
49,0.3270491276661022,0.33896505174356734,0.011915924077465114,0.005474988915154089,0.03578279395801137,0.03578279395801137,2.1764288954966315,512
50,0.32773850746761174,0.34041318655682734,0.01267467908921545,0.005453442662176881,0.0379395254178667,0.0379395254178667,2.3241610619879567,512
51,0.3303931073264795,0.34356079427188757,0.013167686945407969,0.005658150725150144,0.03907592763890566,0.03907592763890566,2.3272068181001937,512
52,0.3341733742369528,0.3429835400427905,0.008810165805837992,0.00582313930387039,0.02602104658477543,0.02602104658477543,1.5129581049146898,512
53,0.33687995994707914,0.34203442584155774,0.005154465894478672,0.005870404730571274,0.015184435629512164,0.015184435629512164,0.8780426786650313,512
54,0.3373785739080599,0.34481912083562416,0.007440546927564315,0.005793179606322718,0.02181346253408225,0.02181346253408225,1.2843632397386142,512
55,0.337345953848906,0.3444403106679256,0.007094356819019436,0.005810419102532399,0.020811087545294173,0.020811087545294173,1.220971619057126,512
56,0.33899094226827553,0.34412512142298984,0.005134179154714399,0.005651744791894015,0.01503164521405485,0.01503164521405485,0.9084237423597167,512
57,0.33992007409538594,0.34443080742215826,0.0045107333267723135,0.005610403051987124,0.01318251630441328,0.01318251630441328,0.8039945232053652,512
58,0.3393146332947782,0.34365798957821514,0.004343356283437073,0.005536400068159729,0.012718976245830488,0.012718976245830488,0.7845091088008714,512
59,0.34304383960847057,0.3442018887301512,0.0011580491216807622,0.0057885324905691754,0.00337011660874279,0.00337011660874279,0.20005919005680375,512
60,0.3420018872175777,0.3446456074513597,0.0026437202337822527,0.005775910634438236,0.007700371018048803,0.007700371018048803,0.45771487841577047,512
61,0.34050400234531875,0.34217676696224164,0.00167276461692283,0.005590783624663072,0.004900576351724414,0.004900576351724414,0.2992003857104448,512
62,0.3399912826012472,0.34179698644131673,0.0018057038400694073,0.005695597644706143,0.0052969636529685655,0.0052969636529685655,0.31703500715991506,512
63,0.34134012036394024,0.3458450204551176,0.0045049000911774216,0.006028017845103243,0.013111168515105022,0.013111168515105022,0.7473269334855902,512
64,0.3430619447477459,0.3479485885265264,0.0048866437787805465,0.006005950904775867,0.014143471172937868,0.014143471172937868,0.8136336537307922,512
65,0.34255976467650373,0.3456486928836974,0.003088928207193508,0.005847061404947355,0.008976722599847746,0.008976722599847746,0.5282872871114169,512
66,0.34364664814005785,0.34434422026211375,0.0006975721220560578,0.006159221811615497,0.002027852851233733,0.002027852851233733,0.11325653522341521,512
67,0.3456919553164577,0.34123094615963423,-0.004461009156823577,0.005842334030848881,-0.012988383841148848,0.012988383841148848,-0.7635662619200497,512
68,0.3437629067957966,0.339300478320781,-0.004462428475015428,0.005570936411293269,-0.013065927913128682,0.013065927913128682,-0.8010194598468761,512
69,0.348385302454696,0.34150152857079746,-0.00688377388389846,0.006071644869843423,-0.01995624086247874,0.01995624086247874,-1.133757660644599,512
70,0.34920630503266004,0.3434938137446959,-0.0057124912879641205,0.006053978949181212,-0.016493403517952043,0.016493403517952043,-0.9435928561886928,512
71,0.3472923738059036,0.3431302330282338,-0.004162140777669746,0.006083161030490299,-0.012056791699665857,0.012056791699665857,-0.6842069044051395,512
72,0.3456955001995402,0.34454355592333863,-0.0011519442762017162,0.006101484963499583,-0.003337812504184472,0.003337812504184472,-0.1887973637717537,512
73,0.3468459384629282,0.3421550464531179,-0.004690892009810323,0.006119516998779366,-0.013616503060244253,0.013616503060244253,-0.7665461196931057,512
74,0.3488017744254075,0.34502962459126685,-0.0037721498341404787,0.006135565527088723,-0.010873390392785684,0.010873390392785684,-0.6148006760723708,512
75,0.348559751643562,0.3451260812762146,-0.0034336703673472943,0.00599638379739778,-0.009899785189196422,0.009899785189196422,-0.5726235149987209,512
