j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,abs_relative_delta_I,z_delta_I,sample_count
1,0.49583360199570026,0.49480886964566595,-0.0010247323500342594,0.0015899791365708918,-0.0020688237772329924,0.0020688237772329924,-0.6444942115682724,512
2,0.48992959846928397,0.48749405610635343,-0.002435542362930464,0.002134931737854097,-0.004983596113167304,0.004983596113167304,-1.1408057315118294,512
3,0.4927908303167211,0.4890509275537072,-0.0037399027630142015,0.0021892253705397663,-0.007618137511539306,0.007618137511539306,-1.7083224109046875,512
4,0.4923279527969021,0.49124440888035076,-0.0010835439165509091,0.0022516823061350067,-0.002203282562155728,0.002203282562155728,-0.4812152733974283,512
5,0.4931987632194242,0.4906204823471869,-0.002578280872237539,0.0023044948693378654,-0.00524137108286112,0.00524137108286112,-1.1188052126053718,512
6,0.49535648589308257,0.4919006500634291,-0.0034558358296533542,0.002290444271859142,-0.007000882959038106,0.007000882959038106,-1.508805899411065,512
7,0.497135509716068,0.4934376287058881,-0.0036978810101799295,0.002364996289960044,-0.0074661443294755225,0.0074661443294755225,-1.5635885036599377,512
8,0.4958905388104774,0.4929238994947063,-0.002966639315771187,0.002399875528684537,-0.006000396436071407,0.006000396436071407,-1.2361638261286472,512
9,0.495238574610953,0.4968106237664631,0.0015720491555098288,0.0024292464832479394,0.0031692967608482597,0.0031692967608482597,0.6471344782633894,512
10,0.49567228620325343,0.4962310452990419,0.000558759095788655,0.0025957497318706605,0.0011266402239871135,0.0011266402239871135,0.21525923278665932,512
11,0.49756154686399334,0.49660573531752195,-0.0009558115464716058,0.0027375755961629123,-0.0019228384671325233,0.0019228384671325233,-0.3491452611614842,512
12,0.49791094514681367,0.4982302409477516,0.00031929580093801246,0.0027660161476692692,0.0006410653537774739,0.0006410653537774739,0.11543526280823088,512
13,0.4997040122088118,0.49843565632705206,-0.001268355881759316,0.002859237829313708,-0.0025414396837264725,0.0025414396837264725,-0.443599293754362,512
14,0.5022532325579301,0.5001793005310724,-0.0020739320268577254,0.003046760020425385,-0.004137798721409989,0.004137798721409989,-0.680700814292609,512
15,0.5011328748786648,0.5020812626700131,0.0009483877913482486,0.003055518349697799,0.0018906986172774725,0.0018906986172774725,0.3103852383809272,512
16,0.5014680298627819,0.5021832565881994,0.0007152267254176018,0.0032906035469359636,0.0014252494568043055,0.0014252494568043055,0.2173542680592997,512
17,0.5021507696609211,0.5041740829072545,0.002023313246333637,0.0032984780782382267,0.004021193039543985,0.004021193039543985,0.6134081228802112,512
18,0.5019447533817785,0.5053536577492002,0.0034089043674212123,0.0034431132595072614,0.006768410095264121,0.006768410095264121,0.990064546383541,512
19,0.5039071182630923,0.5035871248537271,-0.0003199934093651934,0.003535443206646697,-0.000635226278564631,0.000635226278564631,-0.09051012579231935,512
20,0.5054731520943572,0.5042713056893002,-0.0012018464050568638,0.0035830005292163537,-0.0023804961657226844,0.0023804961657226844,-0.33543015002560506,512
21,0.5019782178889164,0.5045983743838176,0.002620156494901283,0.003667227564977912,0.005206074758772746,0.005206074758772746,0.7144788395254834,512
22,0.5028083039661155,0.5031231898917305,0.00031488592561526986,0.003949624248155813,0.0006260583897371607,0.0006260583897371607,0.07972553990732122,512
23,0.5010713420038999,0.5035654290261142,0.002494087022214363,0.004085226993965579,0.004965151772530234,0.004965151772530234,0.6105136938286317,512
24,0.5018723923009563,0.5029722436228766,0.0010998513219202615,0.0042795641273165935,0.0021890972645917176,0.0021890972645917176,0.257000780733691,512
25,0.4782430894375601,0.4777115589385093,-0.0005315304990506434,0.003433110843936733,-0.0011120412457925326,0.0011120412457925326,-0.15482474152833925,512
