series,checkpoint,absolute_time,mean_total_action,se_total_action,sample_count,mean_I_left,se_I_left,mean_I_right,se_I_right
burnin_snapshot,1,8000,25.445458027053864,0.10094459394530202,512,0.23967193820931243,0.010758057812179226,0.21926275088358693,0.01301128095205071
burnin_snapshot,2,16000,25.412941528621218,0.10776467856226135,512,0.2469695199492569,0.010847658108864512,0.21883293054339958,0.014571244937650349
burnin_snapshot,3,24000,25.63665801786641,0.10271395729629877,512,0.2349217584525718,0.01059336200460077,0.2398283811064914,0.016946180754673648
burnin_snapshot,4,32000,25.47355843956087,0.10388674411610727,512,0.2374748762439367,0.010581403642149644,0.23121656525057688,0.014424712290876414
measurement_quarter,1,32250,25.46144340788958,0.09749648931767026,512,0.23802432808493212,0.0009445098030461898,0.21413366195987898,0.003095182486266899
measurement_quarter,2,32750,25.472563910440968,0.09623385208118838,512,0.23830025749079384,0.000929662295695746,0.22227785171348435,0.003115537266446629
measurement_quarter,3,33250,25.500222251903033,0.0966794456523326,512,0.2380911968644323,0.0009233133394872421,0.22030411525237947,0.002904134756117214
measurement_quarter,4,33750,25.467624662194837,0.09332498635362454,512,0.2383686732727811,0.0009177605272718276,0.22132753209344952,0.003117218679964815
measurement_quarter_difference_q4_minus_q3,4,34000,-0.03259758970820355,0.06563087946400023,512,0.0002774764083487825,0.0007020773473428888,0.0010234168410699278,0.0034553066752577417
measurement_snapshot,1,32500,25.426515998981913,0.10713349051102859,512,0.2509329915242765,0.011830153859174759,0.1968033831531102,0.011205080192773097
measurement_snapshot,2,33000,25.508378225655683,0.1077576410788292,512,0.2416209826099447,0.010130565475099452,0.20353492201391532,0.01268154224080913
measurement_snapshot,3,33500,25.47831598352306,0.10610520448576764,512,0.23575829419106845,0.010150500456454,0.23181503606326714,0.013438187840653303
measurement_snapshot,4,34000,25.44227483532615,0.10278566415744547,512,0.2463950231112583,0.010073431650339672,0.2658591866033504,0.01742902213789747
