phase,checkpoint,j,absolute_time,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
burnin,1,1,500,0.6221932249078995,0.028204313122572402,512,-0.01134735967526268,0.030891911271594033
burnin,1,2,500,0.5960282323480897,0.026802914913650052,512,-0.014475697657189812,0.030710423159733678
burnin,1,3,500,0.6274764004344888,0.03008029363683782,512,0.029771441415050504,0.031155925947041013
burnin,1,4,500,0.588065955011075,0.027965770239971054,512,-0.03129816741829927,0.031198151872400767
burnin,1,5,500,0.6367346684852464,0.03217745544701985,512,-0.034688246804080336,0.03191813766439699
burnin,1,6,500,0.6222352686294244,0.03141284036582467,512,0.01651567741009785,0.031161564228764867
burnin,1,7,500,0.6418353759966067,0.03058472790634203,512,0.06324843145739578,0.030920934010271437
burnin,1,8,500,0.6588399711831698,0.030799634154848637,512,-0.0022117740863905055,0.03128131360165385
burnin,1,9,500,0.6701015445221401,0.0342033130045217,512,-0.03923041094458313,0.030343959641391707
burnin,1,10,500,0.6185752532325068,0.030479231262193145,512,0.030117007158423803,0.031121353530316014
burnin,1,11,500,0.6633826830352803,0.03237401301359336,512,0.03372068464523181,0.03153167177250493
burnin,1,12,500,0.642051565770771,0.030279431392224086,512,-0.029366521058364015,0.03165970463392049
burnin,1,13,500,0.6352994213689271,0.029992240968928694,512,0.02936341607875903,0.03157713690515775
burnin,1,14,500,0.6471793054029149,0.03054251486514865,512,-0.027020918322534726,0.030374834776183572
burnin,1,15,500,0.6661398267674485,0.03293181888403705,512,-0.02615684718330158,0.03188296687151545
burnin,1,16,500,0.7118077793788871,0.03958853939922997,512,-0.0010578776655165711,0.030314524228221288
burnin,1,17,500,0.6518098724960737,0.03447482698799207,512,0.0009083347576961387,0.030799404189053317
burnin,1,18,500,0.6563990507561357,0.033718799044612016,512,0.03154967279624543,0.030934499933856423
burnin,1,19,500,0.6509108232719427,0.03372256542566251,512,-0.010190815157784527,0.03161992182120475
burnin,1,20,500,0.6344437839401849,0.03176948715450883,512,0.02662320730905776,0.030519336799239374
burnin,1,21,500,0.6349264300739037,0.030924327368775775,512,-0.05054626270157314,0.03149806277188653
burnin,1,22,500,0.5977308979015135,0.02809495310163173,512,0.01703057265717689,0.030330963199275397
burnin,1,23,500,0.6489872294404222,0.03367918137278451,512,0.05622822384793835,0.030974213695714608
burnin,1,24,500,0.702306922689445,0.03457162545965534,512,-0.011161912691022735,0.03125675779817263
burnin,1,25,500,0.6555437133504256,0.03623255578243866,512,nan,nan
burnin,2,1,1000,0.6197475722558465,0.027299815659979496,512,-0.009517080224213714,0.03094399529782395
burnin,2,2,1000,0.6248772894279,0.03023657195384613,512,0.028777736906363316,0.03139018959860791
burnin,2,3,1000,0.6164387896477024,0.026992200092060464,512,0.09315545587651286,0.03158820331743856
burnin,2,4,1000,0.6167430944390162,0.02817055413597106,512,0.030913889676867257,0.030926643416900813
burnin,2,5,1000,0.6276364143349884,0.027954832269156082,512,-0.04702579394049167,0.03062534874402604
burnin,2,6,1000,0.6264547605876487,0.030953827982968737,512,0.039627162020224205,0.030742408082434235
burnin,2,7,1000,0.6470038784304535,0.032540344395145984,512,9.24756532185711e-05,0.030912608916301723
burnin,2,8,1000,0.5811155338860488,0.027026583035352228,512,-0.0632891493223724,0.031094019726388526
burnin,2,9,1000,0.6688747486609827,0.03434372236474865,512,-0.031173840661722352,0.03127775020539901
burnin,2,10,1000,0.6697385251518426,0.029815719711218724,512,-0.021501255796465557,0.030584180666560268
burnin,2,11,1000,0.6299830479431421,0.030013655660895748,512,0.001696704171536112,0.030920020434322928
burnin,2,12,1000,0.7475518619803552,0.03582162415741086,512,0.041778173413092645,0.030999677231719223
burnin,2,13,1000,0.6378590648185529,0.031318024155849986,512,-0.021105745786940133,0.03179225766540917
burnin,2,14,1000,0.6100969533569014,0.02891114843945297,512,0.038355209916971944,0.030494027409504812
burnin,2,15,1000,0.6255216379079229,0.03317239848871977,512,0.0026675455624172173,0.03142799655849898
burnin,2,16,1000,0.6024125277197641,0.031016520745023392,512,0.016552236730035474,0.03098280745297802
burnin,2,17,1000,0.6095987647834988,0.02983750771951171,512,0.008295117036141164,0.031067491018334288
burnin,2,18,1000,0.5817349844357977,0.03007132775882512,512,0.040818749180346,0.030646730391265427
