series,checkpoint,absolute_time,mean_total_action,se_total_action,sample_count,mean_I_left,se_I_left,mean_I_right,se_I_right
burnin_snapshot,1,2000,17.901234428383418,0.09058091590468945,512,0.33748425435351237,0.014745839058818228,0.3082151804316027,0.015451349699409029
burnin_snapshot,2,4000,17.701177426990906,0.0948867712481747,512,0.3414671697101994,0.01493896779948943,0.31637202765597294,0.016784802919510462
burnin_snapshot,3,6000,17.841404621442898,0.10283377305826731,512,0.3288443846131486,0.01397071887435775,0.3020741709135777,0.017770487127342277
burnin_snapshot,4,8000,17.79633717414709,0.09440088257037307,512,0.3367287789923239,0.01530382738357541,0.3443923598742913,0.019680787782668536
measurement_quarter,1,8250,17.88208178778477,0.07062238480346157,512,0.34102295484210643,0.0013555814266844846,0.3210456573621632,0.0031091038094823156
measurement_quarter,2,8750,17.844588257917273,0.07279076296730606,512,0.34286964378040696,0.0014376222994568187,0.31574205918619813,0.00298209775576307
measurement_quarter,3,9250,17.842812326329444,0.06978346609536025,512,0.3426007784076427,0.0013495424946311258,0.3159941375573785,0.002902409382225897
measurement_quarter,4,9750,17.793189013758248,0.06925336634340702,512,0.342930390670273,0.0013689513341903494,0.3170209363714165,0.002949630659140531
measurement_quarter_difference_q4_minus_q3,4,10000,-0.049623312571184006,0.07596539546227665,512,0.00032961226263031524,0.0015107225452746147,0.0010267988140379093,0.003950773416490892
measurement_snapshot,1,8500,17.95837215120838,0.09131322495114189,512,0.33356732496820723,0.014800240049756774,0.31224048065439547,0.017834765264814683
measurement_snapshot,2,9000,17.929152992945163,0.09403674853714736,512,0.38481765860660744,0.016881345625728,0.32029062829298205,0.01810318232168581
measurement_snapshot,3,9500,17.758993820414187,0.09404127471568893,512,0.33682841185028767,0.014793825094757252,0.28209246598484583,0.013670547854006872
measurement_snapshot,4,10000,17.734529830981025,0.09722065966490982,512,0.33280891079166597,0.014795951995883024,0.3265543018703738,0.01948328724017131
