j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,abs_relative_delta_I,z_delta_I,sample_count
1,0.3426007784076427,0.342930390670273,0.00032961226263031524,0.0015107225452746147,0.000961625896817107,0.000961625896817107,0.2181818651355331,512
2,0.33164183231409683,0.3308841954588736,-0.0007576368552232079,0.0022243031364601144,-0.002287115746289833,0.002287115746289833,-0.3406176266194343,512
3,0.3343278587020081,0.3341769771614885,-0.0001508815405196701,0.0022003103735269303,-0.0004513999972035473,0.0004513999972035473,-0.06857284423825101,512
4,0.33583725617971016,0.33629967766217006,0.0004624214824601624,0.002382207879530692,0.0013759740290330384,0.0013759740290330384,0.19411466414562525,512
5,0.3402066130139464,0.33731609426167286,-0.0028905187522735238,0.0026358108673206577,-0.008532610704360195,0.008532610704360195,-1.0966335969362553,512
6,0.3394395415548489,0.33821297016173224,-0.0012265713931166764,0.0028272004851491056,-0.0036200600511598876,0.0036200600511598876,-0.4338466265691757,512
7,0.3397493797383855,0.341871171961981,0.002121792223595665,0.0028639624147247657,0.006225728429997173,0.006225728429997173,0.7408589626339683,512
8,0.3405223446706528,0.34322500892214236,0.0027026642514895215,0.0029253087850690763,0.007905447055226453,0.007905447055226453,0.9238902454619684,512
9,0.3433346216254214,0.3436928157557202,0.0003581941302988928,0.002962200482674437,0.001042736027149896,0.001042736027149896,0.1209216365988488,512
10,0.34606381560485244,0.34485078877802267,-0.0012130268268295736,0.003060523699085941,-0.0035113654252917383,0.0035113654252917383,-0.3963461636294002,512
11,0.3451787344811108,0.3458063859212406,0.0006276514401295434,0.003240461818967156,0.001816685834751609,0.001816685834751609,0.1936919720688445,512
12,0.3500499986742224,0.3464257154086925,-0.003624283265530162,0.0033076032658311033,-0.010407493591653633,0.010407493591653633,-1.0957430423928083,512
13,0.35214100948651383,0.34725012099216745,-0.004890888494346219,0.0034110509537817464,-0.013986132454950548,0.013986132454950548,-1.4338362459592735,512
14,0.35479648789071894,0.3488399621945242,-0.005956525696194696,0.003515784007907754,-0.01693069111321076,0.01693069111321076,-1.6942240145575467,512
15,0.35708632566496934,0.3498146557366777,-0.007271669928291639,0.0037087018153626797,-0.020573376242520793,0.020573376242520793,-1.960704928654538,512
16,0.3570850183259693,0.34875675381979665,-0.008328264506172602,0.0035968349264516486,-0.02359810607653496,0.02359810607653496,-2.315442514452173,512
17,0.35724211375757364,0.3510771136623898,-0.006165000095183965,0.003511840342601445,-0.017407405747377033,0.017407405747377033,-1.7554898553893696,512
18,0.3598940620268508,0.3528311495372971,-0.007062912489553795,0.0037211973677118136,-0.019819454608750307,0.019819454608750307,-1.8980214677236598,512
