phase,checkpoint,j,absolute_time,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
burnin,1,1,500,0.45288421335294515,0.02048337389806546,512,0.07481470167203952,0.031180717988830913
burnin,1,2,500,0.5084409224987212,0.022652009423400683,512,-0.018835284355304793,0.0310210910035382
burnin,1,3,500,0.5112630904692992,0.024166179620428534,512,-0.022999336124485126,0.030985880298954008
burnin,1,4,500,0.48888047929133194,0.022989657621456567,512,0.024653910590132,0.03149551074821174
burnin,1,5,500,0.505564083856143,0.02209326689516308,512,0.03769197586689188,0.03044599375722904
burnin,1,6,500,0.5001510149247679,0.022740588419359366,512,0.060689249287463554,0.03234990214081225
burnin,1,7,500,0.49894774358313043,0.02478503554093107,512,0.00020413553033904464,0.031329290012328814
burnin,1,8,500,0.49337213633805277,0.02204941077010275,512,0.0017322015646641375,0.03241994125318177
burnin,1,9,500,0.532886868940281,0.024612125433102306,512,-0.0018096377077654324,0.03100346382855436
burnin,1,10,500,0.4882242974571227,0.023883745246605186,512,-0.0029906615827428595,0.031004796191243952
burnin,1,11,500,0.4924659664070532,0.021716712523426735,512,-0.007807998070347821,0.03140900133516513
burnin,1,12,500,0.5028898825582928,0.024245208680593145,512,-0.016222006711942072,0.030715152283338095
burnin,1,13,500,0.5345865290200891,0.023060803505540368,512,0.021647141391440528,0.030335172930602356
burnin,1,14,500,0.48761945836372433,0.022679252871221543,512,0.027741748597691185,0.03134390197158429
burnin,1,15,500,0.47057074510075836,0.02121277406140572,512,0.05439745615376523,0.03143571297931317
burnin,1,16,500,0.49010206747681195,0.022249025553891705,512,-0.052590192897667976,0.031008961842965012
burnin,1,17,500,0.48843617708024567,0.022774541065200236,512,0.05789936686960573,0.03114885274772904
burnin,1,18,500,0.5119495327934942,0.023203270706092828,512,0.009303343527292895,0.031048797523754428
burnin,1,19,500,0.5346244248514722,0.025906116874672862,512,-0.04672075746475457,0.030837534403692857
burnin,1,20,500,0.5217163706621477,0.024433496624353082,512,-0.009172285304202887,0.03157566595606938
burnin,1,21,500,0.465316078531373,0.022684464945581084,512,0.00037176703926888877,0.030672293207546143
burnin,1,22,500,0.4897244687034572,0.021819129023860167,512,-0.008164448670413549,0.031044398151008075
burnin,1,23,500,0.5406939939102813,0.02482425682601105,512,-0.013859104113180365,0.031238934178533073
burnin,1,24,500,0.5181468330786174,0.0244201784594436,512,-0.07072339623391599,0.030338923466356277
burnin,1,25,500,0.45616007677472226,0.023554770935939353,512,nan,nan
burnin,2,1,1000,0.47116191729352497,0.02092848853729656,512,0.05770376604505145,0.03148590194086248
burnin,2,2,1000,0.5106714349506092,0.025034522200518005,512,-0.0036137448203135136,0.03158498240654993
burnin,2,3,1000,0.48492811023368176,0.023991685046211898,512,0.04323736621427088,0.03140614328584385
burnin,2,4,1000,0.47529373751717685,0.02068566952949022,512,-0.0064631957466190215,0.03134699961016832
burnin,2,5,1000,0.5362123701906398,0.024318303183686763,512,-0.013701047936478972,0.03086967869161055
burnin,2,6,1000,0.47538212112999645,0.021761661160945054,512,0.027401715734640675,0.031286952813300364
burnin,2,7,1000,0.4993475877695346,0.023677508980876935,512,-0.03172822771466599,0.031634257556413095
burnin,2,8,1000,0.47213544276022645,0.023117024677095865,512,-0.027181320821000554,0.03136932925497152
burnin,2,9,1000,0.5113754349984561,0.023725466645359572,512,0.031588746103352605,0.03067100401186213
burnin,2,10,1000,0.49134038160251237,0.023105297601885826,512,0.022174765205818403,0.03103706468556153
burnin,2,11,1000,0.524442568853317,0.025147147303570726,512,0.036411554573987814,0.030379679922172092
burnin,2,12,1000,0.5125518771201314,0.0243919104680088,512,0.007139859397739201,0.03205006754115523
burnin,2,13,1000,0.5282427868455359,0.025421840094203084,512,-0.00826240481944751,0.03076641172796766
burnin,2,14,1000,0.49774956411340554,0.024022944373188086,512,-0.015823934057266342,0.031388639864510154
burnin,2,15,1000,0.47491158637831177,0.024345146208682895,512,-0.019548166955701163,0.03055387981760564
burnin,2,16,1000,0.5051484355208231,0.022841484356519816,512,-0.006576230177870457,0.03171132785485848
burnin,2,17,1000,0.5005038554754151,0.02548726324401877,512,0.018157432441512356,0.030707529552165738
burnin,2,18,1000,0.4942804064953634,0.027418468920341506,512,0.023243614989496564,0.03116166746927887
burnin,2,19,1000,0.5436776456693195,0.027325095327549027,512,0.004457109929717262,0.031444744885997786
burnin,2,20,1000,0.475476580474151,0.024013204694139846,512,0.020786355311201987,0.030713858872269
burnin,2,21,1000,0.46946757565883956,0.02233139712141974,512,0.009059130276909855,0.0313242769397505
burnin,2,22,1000,0.4976942338068966,0.024877116619902655,512,-0.006462357803457053,0.03170631239854891
burnin,2,23,1000,0.4973011203032911,0.02530563728970495,512,-0.009142666269326583,0.03086336932422887
burnin,2,24,1000,0.4779623785628928,0.023206396773959335,512,0.025102255268166118,0.030944812331953443
burnin,2,25,1000,0.47225309964517237,0.024169491571779157,512,nan,nan
burnin,3,1,1500,0.49316680281617664,0.021736340005305253,512,-0.013657141580949883,0.03160754701555458
burnin,3,2,1500,0.47429195765914756,0.021097786878683033,512,-0.03541736087618119,0.030760585958819326
burnin,3,3,1500,0.4850786015852293,0.022273029593923115,512,-0.04289411843956259,0.030382840433898006
burnin,3,4,1500,0.5071629837470937,0.021763762478795384,512,-0.053993577868823195,0.031294842384344795
burnin,3,5,1500,0.4704271558846358,0.020005556779751896,512,0.034841909082388156,0.031189838962110944
burnin,3,6,1500,0.4461715976699452,0.019681136043815516,512,0.022250575881344048,0.03070653972765409
burnin,3,7,1500,0.5136375439533367,0.02156405287142841,512,0.023948534627834306,0.030885943119308156
burnin,3,8,1500,0.4850658215987096,0.022600482816070612,512,0.023729074308448617,0.031284208700724896
burnin,3,9,1500,0.5159734450640485,0.024393360330101053,512,-0.03967900117513068,0.030936012070000702
burnin,3,10,1500,0.5235405867008254,0.024085351869468714,512,-0.016674548483933904,0.03101695247118183
burnin,3,11,1500,0.47765277456267086,0.0243872454695496,512,-0.0167122682291847,0.031016164690189724
burnin,3,12,1500,0.49592210152150074,0.023369694666487105,512,-0.016359901445241576,0.03158059930187738
burnin,3,13,1500,0.4593898838318182,0.021664846131489886,512,-0.007607571100379573,0.030115439828426432
burnin,3,14,1500,0.5197203278766835,0.02427545483663607,512,-0.04874342475045523,0.031023992027591703
burnin,3,15,1500,0.5023112247702102,0.024977624842048938,512,-0.0021654249458151753,0.03090793095717462
burnin,3,16,1500,0.47082588883881726,0.02212633501041905,512,0.019472759661567807,0.031352346582949484
burnin,3,17,1500,0.5235896261306152,0.025265830105109334,512,-0.006897051192026993,0.030971198575501836
burnin,3,18,1500,0.478442324829075,0.024260905718719732,512,-0.01843897170351738,0.030711182018301572
burnin,3,19,1500,0.4876679687747014,0.025378189094671894,512,-0.01778984419030394,0.03062108263704267
burnin,3,20,1500,0.48840096080562034,0.02731172702419142,512,0.0068016449673677926,0.03082722699544662
burnin,3,21,1500,0.5134654858825343,0.024766646753090885,512,0.004462639421262793,0.030389500788201657
burnin,3,22,1500,0.5529485372149452,0.028747532385732865,512,0.027544403054207578,0.030932691275983443
burnin,3,23,1500,0.5555735828802426,0.026339269089871886,512,-0.027174589296464546,0.03045519587612573
burnin,3,24,1500,0.5178638840507119,0.027740412080518265,512,-0.010020270641234674,0.03213241527069857
burnin,3,25,1500,0.444278866617708,0.02153254510694226,512,nan,nan
burnin,4,1,2000,0.47286334127462826,0.02055543826306555,512,-0.044370538381429014,0.031206449451352435
burnin,4,2,2000,0.46324317322478237,0.021769067226128563,512,0.028187986178636493,0.031079530372948905
burnin,4,3,2000,0.516414684035226,0.023861919429703227,512,0.029844669241015254,0.03164213697880186
burnin,4,4,2000,0.4699264898686124,0.02148203233375466,512,-0.013954590287823976,0.03131620441979587
burnin,4,5,2000,0.4914900181093458,0.02211697238602911,512,-0.01003588170169678,0.03066680158602637
burnin,4,6,2000,0.4929265843489645,0.02340037642390666,512,-0.029440050791663452,0.03160009797427355
burnin,4,7,2000,0.4817718532178077,0.02167322812697932,512,0.049627241327812044,0.03116393060466002
burnin,4,8,2000,0.4616761976315047,0.02232310384288293,512,0.005279205730573722,0.031107176436937552
burnin,4,9,2000,0.49939893081685227,0.022726389231659205,512,0.0043564194001533,0.030755559244739925
burnin,4,10,2000,0.5327737527570804,0.028682703605490877,512,0.007865160411711258,0.03183298122576134
burnin,4,11,2000,0.527030644650722,0.025747997048413847,512,-0.010998872160251638,0.031163736629275216
burnin,4,12,2000,0.5166308472346373,0.02446479366585515,512,0.016559258070628857,0.030655113779449298
burnin,4,13,2000,0.5264082415397695,0.025357271125851042,512,-0.00593719128119119,0.031912422584881854
burnin,4,14,2000,0.5150789430008444,0.023083609891654408,512,0.03526011405301688,0.030779516750198396
burnin,4,15,2000,0.44867465645938864,0.02063018065114825,512,0.033960643077989516,0.03148453979935909
burnin,4,16,2000,0.45122070345007614,0.02067135356173451,512,-0.02590223318088647,0.031477804598962704
burnin,4,17,2000,0.49840292871027714,0.024835431915093416,512,0.03821144937319332,0.030552117174716283
burnin,4,18,2000,0.4827266315651286,0.024684650485570087,512,0.010450743111391603,0.031713833761350625
burnin,4,19,2000,0.5077139924874245,0.024068481311248655,512,-0.0161386969649584,0.03192017468749246
burnin,4,20,2000,0.526271181608081,0.02417656232272128,512,-0.002883663079046528,0.03182693994603191
burnin,4,21,2000,0.5583071454125275,0.031004884316295812,512,0.034294816794954386,0.030851933929025646
burnin,4,22,2000,0.4650472159945025,0.02125110289077465,512,0.009226470416706434,0.03136723223917299
burnin,4,23,2000,0.48497215316479014,0.023000344085207562,512,-0.03592440990905743,0.03150227923092509
