j,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
1,0.2381961139713838,0.0007852717564922134,512,0.0020775903964165075,0.00018942980576544676
2,0.22684093895727023,0.0009317844900172153,512,0.003312428910772972,0.000669933222339959
3,0.22983241249747344,0.0009343831865157967,512,0.004794067368607015,0.0006695287697206998
4,0.2307329262210227,0.0009906779970680671,512,0.005831246210627273,0.0006894828516887841
5,0.23197868498920454,0.0010053552680785159,512,0.005003574895774098,0.0007093072091960792
6,0.23164777375858686,0.0009979247206038215,512,0.004905578946896807,0.00072165812015198
7,0.23332943691968233,0.0011105562035482726,512,0.006177026747469181,0.0007081600114425707
8,0.23475412583167093,0.0012057501449809858,512,0.0043489530725905265,0.0007147659286165358
9,0.23520860962576545,0.0011828921660811207,512,0.004515878818197472,0.0006878595068495889
10,0.23531809051627456,0.0012285981718073832,512,0.004527041922623669,0.0006767438019242074
11,0.2367352304139762,0.0012834701244544972,512,0.0046664373057239625,0.0007258232963879976
12,0.23777052626650136,0.0013995896032955796,512,0.005001853959831054,0.0006460595071914808
13,0.23891852788351797,0.0014316456368919477,512,0.00481821463263152,0.0006932192224312518
14,0.2385633982280846,0.0014041474918478182,512,0.004470573739660558,0.0006788787955592279
15,0.23965297954678405,0.001429336677388661,512,0.003859681491521514,0.0007084718948782733
16,0.24038019196478566,0.0015124465474683634,512,0.0037623259835958996,0.000691308630055793
17,0.24186606073870082,0.0016328870436143543,512,0.004099984072168465,0.0007042944892683643
18,0.24151628028562136,0.0016066178822771832,512,0.00412069012168007,0.0006862912690363106
19,0.2414932041391282,0.0015764127132025787,512,0.004728948007420651,0.0007086658930551534
20,0.24219766312226815,0.001624593676567578,512,0.0043607884970868,0.0007214529775484119
21,0.24216188717088946,0.0016554630952319584,512,0.004522639498529945,0.0007200207041703787
22,0.2436419969711467,0.0017206272940837842,512,0.003801716684357924,0.000723350119211289
23,0.24491007511166663,0.0017299263999773053,512,0.003700304365297139,0.0007039563710526158
24,0.24422386474571872,0.0017644316119647628,512,0.004289379897310089,0.000693871930386893
25,0.24439810788156294,0.0017645353441450684,512,0.0042082398796626334,0.000703994904957631
26,0.24450660660504636,0.001758080186241968,512,0.004384373135586001,0.0007132021054470681
27,0.24606044271473748,0.0017575628437055753,512,0.003108810286319725,0.0007055849154136754
28,0.24701029609378486,0.0018699625920411084,512,0.0025929673479839956,0.0006874484174945025
29,0.24617176241614527,0.0018258758323422362,512,0.002816841873350645,0.0006789234627467433
30,0.24614506548038256,0.0017303071837929795,512,0.0031246139720020045,0.0006751491672651276
31,0.24938062411353473,0.0018372782133959892,512,0.001541209427278632,0.0007133416908881217
32,0.24976488887196693,0.0019463644769989324,512,0.0028400978337266938,0.0007203171522739234
33,0.24747239165044668,0.0019249307676144202,512,0.0025400218931927935,0.0007292517079827825
34,0.24861718857167722,0.0018885755509262202,512,0.0026348148588729563,0.0006936049033113086
35,0.24969992393317442,0.0019321456011555842,512,0.002145982480190239,0.0007044240398894414
36,0.24953001772036004,0.001965264963448172,512,0.0027278526246415132,0.0007340417194467741
37,0.2512612882885272,0.0020087071490414252,512,0.0013502661851222699,0.0007525648059020349
38,0.25200544903582606,0.00206417378666086,512,0.001607474492764222,0.0007403223704565123
39,0.25217350608633615,0.0020571376540332027,512,0.0009012192305850907,0.0007204916551462597
