series,checkpoint,absolute_time,mean_total_action,se_total_action,sample_count,mean_I_left,se_I_left,mean_I_right,se_I_right
burnin_snapshot,1,8000,32.85719861757961,0.13945700495543603,512,0.30940018777300793,0.014034706078373215,0.2817331942974306,0.01710720033989683
burnin_snapshot,2,16000,33.06002597171707,0.13751859851832104,512,0.30747929876596547,0.014455970063261565,0.2708370207490134,0.01556989575995846
burnin_snapshot,3,24000,33.213416631109936,0.13853062852064482,512,0.28801412242605173,0.012450280472496428,0.2820113225043883,0.017725048739235538
burnin_snapshot,4,32000,32.99293380837342,0.13275029321279114,512,0.3005329999823516,0.013354996915274468,0.28649902207075684,0.018642287390122757
measurement_quarter,1,32250,32.963169132479855,0.1172079624995073,512,0.3065224832533467,0.0011377596000354255,0.27758465504054125,0.003426569489107863
measurement_quarter,2,32750,32.952067585414,0.11948364109633576,512,0.3068043463083062,0.0011709604388673923,0.28131125810506974,0.003443284926021569
measurement_quarter,3,33250,33.11352274269074,0.11899853085677674,512,0.30518504763500065,0.001145165196737821,0.2861110798647981,0.003711974631459163
measurement_quarter,4,33750,33.15059144021116,0.12198298306450411,512,0.3054543742757041,0.0011609445323949995,0.2770820184663704,0.003672351760818329
measurement_quarter_difference_q4_minus_q3,4,34000,0.03706869752041534,0.09088562994880242,512,0.0002693266407032325,0.0009223184241430384,-0.009029061398427785,0.004347184728165537
measurement_snapshot,1,32500,33.02012166266158,0.1285775168286058,512,0.3162138012911839,0.013973056148320112,0.2729002874591515,0.015710995993646
measurement_snapshot,2,33000,33.10304931594983,0.12795289848036662,512,0.3278183997128642,0.014853500960587167,0.2700130562591454,0.016157786740250018
measurement_snapshot,3,33500,33.15153976914013,0.13182685488517124,512,0.30792795909317394,0.013751901599642439,0.25629651720487345,0.012859568524009116
measurement_snapshot,4,34000,33.150004268981945,0.1392154132949224,512,0.3090623523332531,0.013697582166046787,0.2657762301826736,0.014072619259377353
