j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,abs_relative_delta_I,z_delta_I,sample_count
1,0.43870317124005076,0.4392332785375675,0.0005301072975168793,0.001908624692919774,0.001207621115745122,0.001207621115745122,0.2777430782926382,512
2,0.4215176009252514,0.42682394815463487,0.0053063472293833295,0.002602877004531161,0.012509931253841356,0.012509931253841356,2.0386469357353008,512
3,0.42576053647106094,0.43122582663437725,0.005465290163316431,0.0027248259134272667,0.01275467241628445,0.01275467241628445,2.0057392057176333,512
4,0.4299415320675677,0.4339733089221758,0.004031776854608392,0.002805603230839514,0.009333736760418166,0.009333736760418166,1.4370445579370013,512
5,0.4323368936196196,0.4343158025494956,0.0019789089298758787,0.0030242452335704174,0.004566786530805928,0.004566786530805928,0.6543480362998152,512
6,0.438344140667009,0.4376295783929633,-0.0007145622740455217,0.003197160892833254,-0.0016314696628395085,0.0016314696628395085,-0.22349900364641714,512
7,0.43957181880056756,0.43875773379560473,-0.0008140850049625995,0.0033774518375671906,-0.0018537119753202467,0.0018537119753202467,-0.24103526685638615,512
8,0.44222303458087253,0.43978963267983406,-0.0024334019010386417,0.0035719549462335347,-0.005517838895888268,0.005517838895888268,-0.681252125983435,512
9,0.44208989735165527,0.44374416338259143,0.0016542660309365929,0.0037017032865403667,0.003734934350041612,0.003734934350041612,0.4468932010168431,512
10,0.4447137794802831,0.4453099918492676,0.0005962123689846527,0.0036771503450251535,0.001339767292044365,0.001339767292044365,0.16213978571511856,512
11,0.4449831399585944,0.4461887505337536,0.001205610575159199,0.0037794543293131373,0.0027056746022209753,0.0027056746022209753,0.3189906452390713,512
12,0.44665520922267565,0.4506080217780898,0.003952812555414034,0.004134792186476168,0.008810820323051133,0.008810820323051133,0.9559882037947779,512
13,0.44985878202861584,0.4541006490298368,0.004241867001221125,0.004284700178790601,0.009385082682868393,0.009385082682868393,0.9900032264144171,512
14,0.451304402574514,0.4550513030091116,0.003746900434597634,0.004492626603513262,0.008268057257244074,0.008268057257244074,0.8340110953506651,512
15,0.4522214305086274,0.45601515573069873,0.0037937252220715456,0.004390030200173183,0.008354046246430057,0.008354046246430057,0.8641683653843397,512
16,0.45416802769938347,0.4569651466813565,0.0027971189819730076,0.004522610633240755,0.006139868595771623,0.006139868595771623,0.6184744186055839,512
17,0.4553931133981148,0.45892612050380066,0.0035330071056861715,0.004457566008583475,0.007728169712910531,0.007728169712910531,0.7925866041878067,512
18,0.4572443169031497,0.4618595565033443,0.004615239600194803,0.0045508339589209424,0.0100429118704271,0.0100429118704271,1.0141524920168987,512
19,0.4582987561228675,0.46681904295979737,0.008520286836929708,0.004594640606844072,0.01841989602919394,0.01841989602919394,1.8543967996622157,512
