j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,abs_relative_delta_I,z_delta_I,sample_count
1,0.2380911968644323,0.2383686732727811,0.0002774764083487825,0.0007020773473428888,0.0011647419887382052,0.0011647419887382052,0.3952219928458471,512
2,0.22757785793665652,0.22668504729697342,-0.0008928106396830562,0.001962115488176715,-0.003930810239607298,0.003930810239607298,-0.45502451056675336,512
3,0.2316261696962725,0.2295846274809537,-0.002041542215318859,0.0021782756109211855,-0.0088529680042784,0.0088529680042784,-0.9372286064643113,512
4,0.231211227020443,0.23110264518311943,-0.00010858183732369167,0.0023177502117464797,-0.00046973211859791116,0.00046973211859791116,-0.04684794624260769,512
5,0.23289788086104968,0.2337070407673207,0.0008091599062710973,0.002518643722225412,0.003468287061556356,0.003468287061556356,0.3212681091536612,512
6,0.2334588670722598,0.23133176647379425,-0.002127100598465535,0.0025502910558542905,-0.00915294089399833,0.00915294089399833,-0.8340618979871708,512
7,0.23493893145777092,0.23312180536171653,-0.0018171260960544665,0.002684565906184869,-0.007764488465330346,0.007764488465330346,-0.6768789292406862,512
8,0.23681170899846682,0.23433415843647032,-0.0024775505619965875,0.0028258127195997366,-0.010517127425886738,0.010517127425886738,-0.8767568157692776,512
9,0.23786317359973533,0.23309606358826163,-0.0047671100114738095,0.0027853366709410326,-0.020244257400862404,0.020244257400862404,-1.7115022615428497,512
10,0.23750090983167083,0.23396961210208395,-0.003531297729586838,0.0028577294267404458,-0.014979930092354798,0.014979930092354798,-1.2357005168311792,512
11,0.23873736236488882,0.2359878705212602,-0.0027494918436286545,0.003079496499389288,-0.011583508325069596,0.011583508325069596,-0.8928381130402069,512
12,0.2403091839379733,0.23616312934467495,-0.004146054593298493,0.003334215539998513,-0.01740312911251576,0.01740312911251576,-1.2434872741611487,512
13,0.2396097107334742,0.23738735755316492,-0.002222353180309368,0.0032068792661250176,-0.00931809995517164,0.00931809995517164,-0.6929955872628513,512
14,0.23990247733995368,0.23628952951028387,-0.0036129478296697166,0.0030012170131292967,-0.015174332108459726,0.015174332108459726,-1.203827585231027,512
15,0.24113766610838977,0.23725327777921734,-0.0038843883291725676,0.003157758621521172,-0.01623938905534618,0.01623938905534618,-1.2301093258677764,512
16,0.24059789990956748,0.23858449621604,-0.0020134036935276645,0.003309830564808622,-0.008403496079183566,0.008403496079183566,-0.6083102002063002,512
17,0.24377470603767043,0.2401692556413481,-0.003605450396322462,0.0034554548080686525,-0.014900280535843606,0.014900280535843606,-1.0434083489975219,512
18,0.243810978894415,0.24077510752980175,-0.003035871364613168,0.0034376093456008716,-0.012529750439246014,0.012529750439246014,-0.8831344866158775,512
19,0.2422619645147741,0.2428049650554709,0.0005430005406967245,0.0034444850234965733,0.0022388685255364943,0.0022388685255364943,0.15764346106679034,512
20,0.24274268056895357,0.24428577643241672,0.0015430958634630293,0.0038024106452266815,0.006336779057896765,0.006336779057896765,0.4058204143206204,512
21,0.24487401835257633,0.2426700511986667,-0.0022039671539095204,0.0037993045837901637,-0.009041099221812496,0.009041099221812496,-0.580097516612068,512
22,0.24603562033250315,0.24440219497283167,-0.0016334253596714803,0.003701050587703823,-0.006661090595775323,0.006661090595775323,-0.4413409979042943,512
23,0.2461975537062236,0.24711980215654544,0.0009222484503219784,0.003656664507972001,0.003738966161890032,0.003738966161890032,0.25221029938933626,512
24,0.24499842049057963,0.24610146983111908,0.001103049340539209,0.003876668125659313,0.004492158773713626,0.004492158773713626,0.2845354063811204,512
25,0.24500393368072454,0.24664431561425826,0.0016403819335338052,0.003916381741574797,0.0066729900325531175,0.0066729900325531175,0.41885138931175775,512
26,0.24497699548854196,0.2446691467494998,-0.00030784873904232506,0.0038584189855525534,-0.0012574335320410396,0.0012574335320410396,-0.07978623892196064,512
27,0.24638994712315054,0.24662632176173493,0.00023637463858437518,0.0038091242516105914,0.0009588918398940963,0.0009588918398940963,0.062054851186445326,512
28,0.24686685648510473,0.2453850100736743,-0.0014818464114302406,0.003686579146626247,-0.006020683768207897,0.006020683768207897,-0.4019570318424723,512
29,0.24534170396551755,0.24463087504085304,-0.0007108289246645699,0.003574879755051316,-0.0029015049213818463,0.0029015049213818463,-0.19883995361247225,512
30,0.24603882805495697,0.24658457050683819,0.0005457424518811775,0.003680921845378724,0.002215657857399638,0.002215657857399638,0.14826243935777642,512
31,0.24687788181336598,0.24935398498854594,0.0024761031751798397,0.0038817607373133555,0.00997962178905476,0.00997962178905476,0.6378814519345157,512
32,0.24741304286343296,0.24857435867236072,0.0011613158089276527,0.004005432174118397,0.004682843980841899,0.004682843980841899,0.28993520759923,512
33,0.24629128701883907,0.2460542223635766,-0.00023706465526248635,0.0041927683436178125,-0.0009630011881690708,0.0009630011881690708,-0.05654131968043111,512
