series,checkpoint,absolute_time,mean_total_action,se_total_action,sample_count,mean_I_left,se_I_left,mean_I_right,se_I_right
burnin_snapshot,1,2000,23.100998458851308,0.11693427477165057,512,0.4421841648060256,0.01960197055828097,0.40999624023228876,0.02353713406878447
burnin_snapshot,2,4000,23.138506077310883,0.13117180630174044,512,0.44202269687806595,0.019329699978811992,0.4449846818928336,0.027988448655520543
burnin_snapshot,3,6000,22.9600847521545,0.13175122483991628,512,0.4825788457346789,0.022814989453820315,0.35726032670385166,0.01899755775605192
burnin_snapshot,4,8000,23.21180484549344,0.13381866556598265,512,0.4456912233967428,0.01843068009308737,0.39853438481725334,0.019342457045625434
measurement_quarter,1,8250,23.19268457850051,0.09062437287278773,512,0.43841099556013885,0.0017065031203292193,0.40517010895980593,0.0035742584342958583
measurement_quarter,2,8750,23.20599054425383,0.08592752346651451,512,0.43983876833530267,0.0016615669961409954,0.4035068806840437,0.0037657375782446404
measurement_quarter,3,9250,23.214486932892463,0.08756134618818669,512,0.43870317124005076,0.0016775366410620375,0.40838014782346754,0.0036298287641409223
measurement_quarter,4,9750,23.1603646485938,0.08407378287067072,512,0.4392332785375675,0.0016148105054632838,0.40069901048442536,0.003426370936531253
measurement_quarter_difference_q4_minus_q3,4,10000,-0.05412228429867082,0.09503492612690066,512,0.0005301072975168793,0.001908624692919774,-0.007681137339042078,0.004728106420090338
measurement_snapshot,1,8500,23.232888629136585,0.13026510047413647,512,0.4289549046607631,0.020696639674649308,0.3730228229479735,0.02335998051876533
measurement_snapshot,2,9000,23.28504167598957,0.13629659954974133,512,0.4340193608163645,0.01899145098592934,0.41911638637736814,0.024990341342671005
measurement_snapshot,3,9500,23.449334703519945,0.1252889026133675,512,0.46149343255449427,0.020086337332810317,0.42726231783598223,0.026943218698248367
measurement_snapshot,4,10000,22.93388242272721,0.1230022470916766,512,0.41099706318073004,0.01759755572958545,0.36876582884804066,0.021999366057014066
