quarter,j,interval_start,interval_end,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
1,1,0,500,0.49456683786541056,0.0011967822953104254,512,0.004009289014279965,0.00041482346774484745
1,2,0,500,0.4875548955579434,0.0015519916557845523,512,0.004919608748447886,0.0009460200466805172
1,3,0,500,0.49091556247419765,0.0015874547948335135,512,0.006705221939551258,0.0008630726711294415
1,4,0,500,0.49120035388191485,0.0015517669018690473,512,0.006956513139701893,0.0008899318920887287
1,5,0,500,0.49505314380237264,0.0015932377189885206,512,0.006568791052010293,0.0009539878454480721
1,6,0,500,0.49711825829763845,0.0017025230995377932,512,0.007229436721598115,0.0009113780816393451
1,7,0,500,0.4983800216777188,0.0016234586682153658,512,0.007016498375844999,0.0008650539131549911
1,8,0,500,0.49917395605110215,0.0017343595391837046,512,0.00563607187607183,0.0009639080608447405
1,9,0,500,0.5006424687358824,0.0018433745636776927,512,0.0054231258723705204,0.0009210848704243698
1,10,0,500,0.5003845234811214,0.0019442214377078154,512,0.004428671194135729,0.0009271596878739316
1,11,0,500,0.5025725529351932,0.0019877394882331224,512,0.004646415000412274,0.0009412729900854013
1,12,0,500,0.5034486983616802,0.0022026090956339967,512,0.0034195659606155427,0.0009271152794895965
1,13,0,500,0.5040354617175826,0.0023270612656928705,512,0.004275398848169319,0.0009396770917779692
1,14,0,500,0.5034137565921915,0.002351322641072757,512,0.004659959845290497,0.0009594990530613169
1,15,0,500,0.504790348374578,0.002297940462262593,512,0.0032387543366831925,0.0009890275893149998
1,16,0,500,0.5026903216758142,0.0023759018174328884,512,0.0016086449680946689,0.0009482628462548199
1,17,0,500,0.5035772682112528,0.0025053568285441615,512,0.0034437326378848744,0.0008941251628648895
1,18,0,500,0.5054756257886512,0.0027040588332053186,512,0.003759716393476854,0.0009355783040735047
1,19,0,500,0.504167743453664,0.0027782184646804966,512,0.0027598076394532095,0.0008891912427170337
1,20,0,500,0.5030899904365075,0.002930234292532881,512,0.0022197022734030576,0.0009230075786272251
1,21,0,500,0.5025356613853594,0.0030356658912058174,512,0.0007825249938911881,0.0009409525538119366
1,22,0,500,0.5031933855060304,0.0031972681980087067,512,0.0007839080108523108,0.0008801272576629553
1,23,0,500,0.5047520680772183,0.0033323946110228523,512,0.0011011171681537574,0.0008313975347771414
1,24,0,500,0.5038118263024508,0.0032990934377029025,512,0.0012958554005086064,0.0008633515198453479
1,25,0,500,0.4764524745584974,0.0025242886675916026,512,nan,nan
2,1,500,1000,0.4973123848655628,0.001211215022206811,512,0.0038043761596748644,0.000409960641069262
2,2,500,1000,0.48979710388777276,0.0015434135313513644,512,0.006424246695641811,0.0009399554533894282
2,3,500,1000,0.4908736849840767,0.0016159843750722317,512,0.005992209012958709,0.0009653977335948395
2,4,500,1000,0.4921349364503175,0.0016191068063616373,512,0.0065843263537480445,0.0009297689806340715
2,5,500,1000,0.49176532201716017,0.0015780047117686402,512,0.005708733201842687,0.0008675863391840223
2,6,500,1000,0.49430762404621964,0.0016102103096235724,512,0.006305092869058539,0.0008969165839325727
2,7,500,1000,0.4945455167694749,0.0017994486097098635,512,0.005513360576676611,0.0009399818269005393
2,8,500,1000,0.4940328299084179,0.0018048735144552495,512,0.005595300601134253,0.0008806419232523137
2,9,500,1000,0.4965252720909158,0.0018209122047118174,512,0.005181258788048461,0.0009285935396958711
2,10,500,1000,0.4979164838845779,0.0018872426147507155,512,0.005699585582712552,0.0009253528511977144
2,11,500,1000,0.49840497514540166,0.0018960004767801925,512,0.006136958637109084,0.0009481824031109572
2,12,500,1000,0.49883324449887256,0.0020878391213998556,512,0.006475178498207879,0.0009573754075357233
2,13,500,1000,0.49845767991456447,0.0021009651693292015,512,0.0034028541962611092,0.0009396830174313702
2,14,500,1000,0.49986361443857386,0.002248595597480946,512,0.0035929531714714415,0.0009406972284809106
2,15,500,1000,0.4999724374183754,0.002307859950610431,512,0.004354989552695157,0.0009710742827562714
2,16,500,1000,0.4981820751924958,0.0023201297442457702,512,0.004429828925672813,0.0009578098588739499
2,17,500,1000,0.49775771021364823,0.0023513824866908564,512,0.002571969878095377,0.0009625082173618269
2,18,500,1000,0.4976503427386244,0.00245951718750677,512,0.0016072569640487296,0.0008773600497146935
2,19,500,1000,0.49740273806672364,0.002463223850862754,512,0.001964790340994085,0.0009446652090261977
2,20,500,1000,0.49729200736648255,0.002631794811790153,512,0.0013312371485678304,0.0008779796120268395
2,21,500,1000,0.49786234880310987,0.002689077462084008,512,0.002159607453867437,0.0008728218982782794
2,22,500,1000,0.5019166046327674,0.002879332881973137,512,0.0017595420165953846,0.0008342384680596823
2,23,500,1000,0.5020087187567404,0.003205741335673366,512,0.000895791854857882,0.0007898529128252614
2,24,500,1000,0.5017212690356594,0.0033029038877464187,512,0.0005216770637728785,0.0008761703955050349
2,25,500,1000,0.4787727235716912,0.0024645451425987287,512,nan,nan
3,1,1000,1500,0.49583360199570026,0.0010948308498089727,512,0.004155767916342272,0.00041936810051917966
3,2,1000,1500,0.48992959846928397,0.0014407769225615783,512,0.006221218906108423,0.0009511995770594223
3,3,1000,1500,0.4927908303167211,0.0014352057513604068,512,0.006448316208123977,0.0008837623002028367
