j,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
1,0.6391011397421631,0.0007378138252328487,512,0.004485999496804718,0.00018060875306254688
2,0.6300918884253777,0.0009199113704119405,512,0.007759360113046149,0.00040671921726898513
3,0.6346315563176974,0.0009625970935191375,512,0.008205027255832057,0.00039564113207683646
4,0.6370813810425764,0.0009396677572473248,512,0.008114982455767767,0.00041171488768253797
5,0.638122814556533,0.00096072793670508,512,0.007401622746464823,0.0004156156359135427
6,0.6395101370284564,0.0009868706141665995,512,0.008080791921970643,0.00041166871847978507
7,0.6408889557318243,0.0010402742700630272,512,0.007949443175275565,0.00043072915013288304
8,0.6420294572073602,0.001089210593126735,512,0.007395856368469381,0.0004169253101391831
9,0.6441442396517246,0.0010710635222224865,512,0.007135245577817943,0.00042787909576490077
10,0.644970370367911,0.0010894489304452625,512,0.0068738356192423865,0.00042455205157300007
11,0.6466327346157392,0.0011763028349001355,512,0.005823457147466661,0.0004021165587314104
12,0.6470405900216158,0.0012562839494643647,512,0.005947792692507145,0.00040837194018077594
13,0.648415657259602,0.0013207542764817975,512,0.005337850326514791,0.00039967207531003285
14,0.6499025879297635,0.0014262517156313258,512,0.004810361963660513,0.0004377776951293558
15,0.6494632906133806,0.0014935515406473252,512,0.0044450190979007705,0.00042314391442537967
16,0.6489294736510594,0.001530925786079988,512,0.0038759563610572334,0.0004356576053605659
17,0.6505797417303634,0.001604847521846608,512,0.003380231897323405,0.0004152080092924031
18,0.6517299954138671,0.0016941685653980834,512,0.002652477395426165,0.00039919731112633846
19,0.6513900704007183,0.0017486408106780588,512,0.0017477011643223725,0.00041801492112577627
20,0.6515390812652959,0.0018888982543054762,512,0.0012047164858238622,0.0004030415454119113
21,0.6528430060882441,0.0019269491311438664,512,0.002113063772041974,0.0004139580971570093
22,0.6520392189056703,0.0019362049041701322,512,0.0010742767814054914,0.0003856053932926761
23,0.6514955708461088,0.0019988795705172956,512,0.0005583437524780542,0.0003572234550971853
24,0.6495496753242279,0.001974345039058408,512,0.0002876241622440057,0.00037247501949808526
25,0.6078146803784568,0.001387975511461476,512,nan,nan
