phase,checkpoint,j,absolute_time,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
burnin,1,1,2000,0.4421841648060256,0.01960197055828097,512,0.038048469996226686,0.03096518864919771
burnin,1,2,2000,0.3984427372506616,0.01753671417953972,512,-0.016163870351647347,0.031081600494827492
burnin,1,3,2000,0.4253012262138327,0.019414628056450955,512,0.00017730097647472576,0.03164820218411483
burnin,1,4,2000,0.4630912704071761,0.023155080430552758,512,0.0015238243545354635,0.030948151255179877
burnin,1,5,2000,0.4232335050558049,0.020681967027381464,512,-0.011814197577677987,0.032252311132907524
burnin,1,6,2000,0.42070405454376214,0.02030181344064442,512,-0.028223812744727184,0.03083322069835417
burnin,1,7,2000,0.4453843447756185,0.023413828878205926,512,-0.04154063213763948,0.031067779786292323
burnin,1,8,2000,0.4452351844519171,0.02091106431630531,512,0.002994275786477374,0.030827209427575778
burnin,1,9,2000,0.4241805702484669,0.022330472329946397,512,0.023864173908805242,0.03144468957335133
burnin,1,10,2000,0.4490763659907273,0.02965362302313801,512,0.05053642601978936,0.03151827164918836
burnin,1,11,2000,0.4824183376725273,0.02644388443023419,512,-0.04138324838459084,0.030356996344901035
burnin,1,12,2000,0.4631261981724144,0.026717094351990187,512,0.03544749510365364,0.03164130454209906
burnin,1,13,2000,0.4726778989734477,0.026429787480860466,512,0.056960420799441636,0.03105918046597835
burnin,1,14,2000,0.5054911169008847,0.03260793409997191,512,-0.018144476887783867,0.030201760572245988
burnin,1,15,2000,0.41335493344570295,0.021802545012070747,512,-0.01735904135466626,0.03107379780033434
burnin,1,16,2000,0.4581118816876142,0.025543240447706984,512,-0.029081569371555815,0.03165839108981929
burnin,1,17,2000,0.4581282529436237,0.025815706809872045,512,0.03383777102726526,0.030312128087770902
burnin,1,18,2000,0.42164032288103215,0.021824278356199545,512,-0.024154176780029957,0.031266165127034055
burnin,1,19,2000,0.4228011546027801,0.02224329689860853,512,-0.018890721252319054,0.03137941023888335
burnin,1,20,2000,0.45523082077949084,0.027880134553292378,512,-0.0054820992950226355,0.031518540536221856
burnin,1,21,2000,0.47099780932154545,0.031266734061957194,512,-0.0031881965005595703,0.030995451423738312
burnin,1,22,2000,0.5222819328973856,0.02888855660021257,512,-0.07388099123875236,0.031044457363071737
burnin,1,23,2000,0.49217062194577466,0.030442290788882356,512,0.03698483549123921,0.030788396957078957
burnin,1,24,2000,0.49532433988952107,0.03310272891526998,512,-0.006140229445009027,0.031394071459547146
