site,mean_action
1,1.0547220874552776
2,0.97607417593885137
3,0.94923968947906157
4,0.91668980290977842
5,0.88198653369358593
6,0.84559134418533177
7,0.80643595707151683
8,0.76495474540216701
9,0.72369027648974682
10,0.49595525309625899
