site,mean_action
1,0.88803562978849004
2,0.86097302841980605
3,0.84967547916124631
4,0.83661199235017092
5,0.82340312473901156
6,0.81005792857678505
7,0.79620143921335906
8,0.7816104383767335
9,0.7678697618127136
10,0.69991803006608067
