path,mode,n,clone_count,burnin,observation_time,selection_time,dt,k,seed,scgf,late_half_logz_slope,mean_population_entropy_rate,mean_population_action_current,minimum_weight_ess,minimum_root_count_ess,minimum_unique_roots,midpoint_failures
experiments/entropy_ft_scgf_2026-08-27/guided_crosscheck/n10_t20_N256_k0p2_run2_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.2,2026083802,-0.17501280530557178,-0.19253025008641006,0.08716665300512004,0.5307766029869077,198.91338635199162,10.522800256904302,23,0
experiments/entropy_ft_scgf_2026-08-27/guided_crosscheck/n10_t20_N256_k0p2_run3_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.2,2026083803,-0.14383199394529028,-0.17280167653513467,-0.032662275701931434,0.5000413864120355,200.18291355372483,12.42153146322972,22,0
experiments/entropy_ft_scgf_2026-08-27/guided_crosscheck/n10_t20_N256_k0p2_run4_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.2,2026083804,-0.1231508647810498,-0.12760666661626738,-0.07812583495159467,0.533910604903658,203.53288638581913,11.778576563623293,20,0
experiments/entropy_ft_scgf_2026-08-27/guided_crosscheck/n10_t20_N256_k0p3_run2_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.3,2026083902,-0.16596176349723893,-0.20457614248559194,-1.3647523371170518,0.6277948187062459,153.40516106897385,5.540750760906324,11,0
experiments/entropy_ft_scgf_2026-08-27/guided_crosscheck/n10_t20_N256_k0p3_run3_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.3,2026083903,-0.138074511315296,-0.14378097204949103,-1.4434059926350655,0.6168270084165295,158.84064588830483,5.255493183640738,11,0
experiments/entropy_ft_scgf_2026-08-27/guided_crosscheck/n10_t20_N256_k0p3_run4_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.3,2026083904,-0.14658444156706193,-0.15462379366771473,-1.4095915515490758,0.5242253324122843,154.78990433248603,3.698837340557625,9,0
experiments/entropy_ft_scgf_2026-08-27/guided_probe/n10_t20_N256_k0_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.0,2026083400,0.0,0.0,1.3133666235735435,0.39347839555347874,256.0,256.0,256,0
experiments/entropy_ft_scgf_2026-08-27/guided_probe/n10_t20_N256_k0p1_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.1,2026083401,-0.11350606901216084,-0.11547139923567908,0.917788990895318,0.448388587970501,238.00113663919353,29.76203451407811,47,0
experiments/entropy_ft_scgf_2026-08-27/guided_probe/n10_t20_N256_k0p2_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.2,2026083402,-0.14768575361367647,-0.15976491593898073,-0.012401382498579019,0.5462676693427823,200.12433792996993,11.221917808219178,24,0
experiments/entropy_ft_scgf_2026-08-27/guided_probe/n10_t20_N256_k0p3_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.3,2026083403,-0.17679116640133782,-0.17281518116978736,-1.4090081696673669,0.5705791540172285,161.6070182489071,5.299692705806243,10,0
experiments/entropy_ft_scgf_2026-08-27/guided_probe/n10_t20_N256_k0p5_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.5,2026083404,-0.14141145042048492,-0.2299481308585606,-10.474587344231857,0.8366502844728823,68.16029874353652,1.502223444734791,3,0
experiments/entropy_ft_scgf_2026-08-27/guided_probe/n10_t20_N256_k0p7_summary.csv,guided,10,256,500.0,20.0,0.5,0.0005,0.7,2026083405,-0.11593916850733028,-0.2090948223182935,-92.62292930128542,2.153162460171488,18.815215506487213,1.0,1,0
experiments/entropy_ft_scgf_2026-08-27/high_tilt_convergence/n10_t20_N1024_k0p7_run2_summary.csv,guided,10,1024,500.0,20.0,0.5,0.0005,0.7,2026086302,-0.053960083639207214,-0.11653939693384868,-114.84681160022012,2.297803464584935,34.42582596188428,1.0,1,0
experiments/entropy_ft_scgf_2026-08-27/high_tilt_convergence/n10_t20_N1024_k0p7_run3_summary.csv,guided,10,1024,500.0,20.0,0.5,0.0005,0.7,2026086303,-0.0398601590775034,-0.29476712206264843,-108.13599169581451,2.0827181366551124,25.257549929885954,1.0,1,0
experiments/entropy_ft_scgf_2026-08-27/high_tilt_convergence/n10_t20_N1024_k0p7_run4_summary.csv,guided,10,1024,500.0,20.0,0.5,0.0005,0.7,2026086304,-0.641442431572567,-1.5131868931786883,-167.81410272239992,1.7919823744185623,8.654487780561281,1.0,1,0
experiments/entropy_ft_scgf_2026-08-27/k0_recovery/n10_N256_run1_summary.csv,naive,10,256,500.0,100.0,0.5,0.0005,0.0,2026082702,0.0,0.0,1.291076698307929,0.3967683365746671,256.0,256.0,256,0
experiments/entropy_ft_scgf_2026-08-27/k0_recovery/n10_N256_run2_summary.csv,naive,10,256,500.0,100.0,0.5,0.0005,0.0,2026082703,0.0,0.0,1.2982104322015857,0.4026455457088446,256.0,256.0,256,0
experiments/entropy_ft_scgf_2026-08-27/k0_recovery/n10_N256_run3_summary.csv,naive,10,256,500.0,100.0,0.5,0.0005,0.0,2026082704,0.0,0.0,1.2663805840202749,0.39575950714266744,256.0,256.0,256,0
experiments/entropy_ft_scgf_2026-08-27/k0_recovery/n10_N256_run4_summary.csv,naive,10,256,500.0,100.0,0.5,0.0005,0.0,2026082705,0.0,0.0,1.300557426111798,0.4007023197441598,256.0,256.0,256,0
experiments/entropy_ft_scgf_2026-08-27/observation_convergence/n10_t40_N1024_k0p3_run1_summary.csv,guided,10,1024,500.0,40.0,0.5,0.0005,0.3,2026086401,-0.186396399723027,-0.2058102039854933,-1.3285936867414863,0.5998535033660012,651.4387160516949,9.307768782843347,19,0
experiments/entropy_ft_scgf_2026-08-27/observation_convergence/n10_t40_N1024_k0p3_run2_summary.csv,guided,10,1024,500.0,40.0,0.5,0.0005,0.3,2026086402,-0.18563758829834848,-0.1980112273248899,-1.34798920718031,0.6000551599397967,644.7325559274193,8.900266521805557,18,0
experiments/entropy_ft_scgf_2026-08-27/observation_convergence/n10_t40_N1024_k0p3_run3_summary.csv,guided,10,1024,500.0,40.0,0.5,0.0005,0.3,2026086403,-0.17670877566602056,-0.17298715809742637,-1.4152523888502098,0.547892958143487,613.7111500922888,9.461462111778825,14,0
experiments/entropy_ft_scgf_2026-08-27/observation_convergence/n10_t40_N1024_k0p3_run4_summary.csv,guided,10,1024,500.0,40.0,0.5,0.0005,0.3,2026086404,-0.15554434041505172,-0.16176156044623638,-1.3831853870605324,0.5895180120445447,661.4332004273202,9.974468732758785,19,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N1024_k0p3_run1_summary.csv,guided,10,1024,500.0,20.0,0.5,0.0005,0.3,2026085301,-0.14520628131719274,-0.17082077609145047,-1.370950491860789,0.5946833116835286,659.325900039761,24.091903317709768,48,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N1024_k0p3_run2_summary.csv,guided,10,1024,500.0,20.0,0.5,0.0005,0.3,2026085302,-0.1629645015018148,-0.17438668952387795,-1.412500751390865,0.5888374137965314,670.9653689522444,22.470769758271903,40,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N1024_k0p3_run3_summary.csv,guided,10,1024,500.0,20.0,0.5,0.0005,0.3,2026085303,-0.16564902630603826,-0.15806074126128292,-1.3680028061049767,0.5651311478482891,655.1597013846923,20.866353577967047,41,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N1024_k0p3_run4_summary.csv,guided,10,1024,500.0,20.0,0.5,0.0005,0.3,2026085304,-0.1675660654010871,-0.1867875599459091,-1.3328735816832362,0.6048722921749249,653.7610464450339,22.443835616438356,40,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p1_run1_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.1,2026084101,-0.08877884204157911,-0.08574771457729703,0.6936679756320293,0.44546055943418594,477.8972348081016,68.84033613445378,106,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p1_run2_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.1,2026084102,-0.09121490590166137,-0.10141088236039651,0.7441534585662939,0.44690379020058285,478.4848832671272,67.56288659793815,105,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p1_run3_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.1,2026084103,-0.09585783043623461,-0.09951247049884919,0.8128960284866718,0.4465389389059654,475.24600481516,59.389216130493885,91,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p1_run4_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.1,2026084104,-0.09119390811116337,-0.10771757511302321,0.8054289615291635,0.44686211408680443,477.1099158242888,69.49734888653235,111,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p3_run1_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.3,2026084301,-0.1849742967120725,-0.22929328625440845,-1.366439050655597,0.6119362561241052,319.76612369382224,9.126305528477928,18,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p3_run2_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.3,2026084302,-0.16265472056884483,-0.21199340992008284,-1.4131957838383273,0.5746462791305255,312.8003898425115,12.089282420217671,20,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p3_run3_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.3,2026084303,-0.1419993219304227,-0.17138365601764427,-1.4752526637913754,0.4984474862190491,322.32696272500795,10.025393911580236,18,0
experiments/entropy_ft_scgf_2026-08-27/population_convergence/n10_t20_N512_k0p3_run4_summary.csv,guided,10,512,500.0,20.0,0.5,0.0005,0.3,2026084304,-0.18977245479556695,-0.18255916343658554,-1.285927115433394,0.6035765481790213,312.347140120726,9.09401234996184,18,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel0p25_k0p3_run1_summary.csv,guided,10,1024,500.0,20.0,0.25,0.0005,0.3,2026086001,-0.14476567968848517,-0.17764485067666277,-2.1806809898175366,0.5771211677442031,861.0012477497395,24.212062436501338,47,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel0p25_k0p3_run2_summary.csv,guided,10,1024,500.0,20.0,0.25,0.0005,0.3,2026086002,-0.15601980283932418,-0.18291677514553006,-2.176440123996392,0.5704184154337794,849.22607564198,20.131628460622817,39,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel0p25_k0p3_run3_summary.csv,guided,10,1024,500.0,20.0,0.25,0.0005,0.3,2026086003,-0.15483135844434473,-0.1395693897071912,-2.328785208235493,0.5866979136355797,851.1557669622296,18.4738548273432,35,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel0p25_k0p3_run4_summary.csv,guided,10,1024,500.0,20.0,0.25,0.0005,0.3,2026086004,-0.15100291514495448,-0.18383054237384466,-2.1365526730778117,0.606783924530173,855.0602506856874,16.403992365695693,38,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel1p0_k0p3_run1_summary.csv,guided,10,1024,500.0,20.0,1.0,0.0005,0.3,2026086101,-0.1571316059835619,-0.19081932804376045,-0.49536421238885237,0.6995919973492559,366.7550755905281,17.10118076847805,36,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel1p0_k0p3_run2_summary.csv,guided,10,1024,500.0,20.0,1.0,0.0005,0.3,2026086102,-0.15983652150159372,-0.20368189904526235,-0.5702926356066886,0.7315579318343413,361.1680537682698,21.337674494322574,44,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel1p0_k0p3_run3_summary.csv,guided,10,1024,500.0,20.0,1.0,0.0005,0.3,2026086103,-0.15555428244568933,-0.16780441415391398,-0.5864002074317558,0.7080660431397818,356.85421789202235,23.78910113889015,43,0
experiments/entropy_ft_scgf_2026-08-27/selection_convergence/n10_t20_N1024_sel1p0_k0p3_run4_summary.csv,guided,10,1024,500.0,20.0,1.0,0.0005,0.3,2026086104,-0.15078318581314404,-0.16442741357866728,-0.5837182920214244,0.6702359855061735,377.8433099495867,19.511294704328087,36,0
experiments/entropy_ft_scgf_2026-08-27/selection_probe/n10_t20_N256_sel0p1_k0p5_summary.csv,naive,10,256,500.0,20.0,0.1,0.0005,0.5,2026083301,-0.1571254631148467,-0.2535316505307049,8.342146948080764,0.8097016602412523,9.99417287590451,2.0777376196816943,4,0
experiments/entropy_ft_scgf_2026-08-27/selection_probe/n10_t20_N256_sel0p1_k0p7_summary.csv,naive,10,256,500.0,20.0,0.1,0.0005,0.7,2026083302,-0.033937134098150246,-0.12427279136704877,17.785497843521025,0.4962451533742459,1.5679115357900077,1.0563847964151005,2,0
experiments/entropy_ft_scgf_2026-08-27/selection_probe/n10_t20_N256_sel0p1_k1_summary.csv,naive,10,256,500.0,20.0,0.1,0.0005,1.0,2026083303,-4.093498468840243,-6.076943867879357,67.73756060412163,1.6167311034514724,1.0738306393589767,1.0,1,0
experiments/entropy_ft_scgf_2026-08-27/smoke/n10_k0_summary.csv,naive,10,16,2.0,2.0,0.5,0.0005,0.0,2026082701,0.0,-0.0,2.4114405457264314,0.7428103389234957,16.0,16.0,16,0
experiments/entropy_ft_scgf_2026-08-27/tilt_probe/n10_t20_N256_k0p5_summary.csv,naive,10,256,500.0,20.0,0.5,0.0005,0.5,2026083201,-0.10450504826105286,-0.1376054294476396,4.815889699168254,0.6351945454800553,3.7302711868292757,2.7007335366356218,10,0
experiments/entropy_ft_scgf_2026-08-27/tilt_probe/n10_t20_N256_k0p7_summary.csv,naive,10,256,500.0,20.0,0.5,0.0005,0.7,2026083202,-0.08070883081461774,-0.1788376317421397,9.341401655001345,0.29702133653710694,1.0766939356918372,1.023712080977225,2,0
experiments/entropy_ft_scgf_2026-08-27/tilt_probe/n10_t20_N256_k1_summary.csv,naive,10,256,500.0,20.0,0.5,0.0005,1.0,2026083203,-0.22358793748570038,-1.0405619509799118,14.433904173471765,0.45412123926099995,1.4386381418867922,1.0,1,0
experiments/entropy_ft_scgf_2026-08-27/timestep_convergence/n10_t20_N1024_dt0p00025_k0p3_run1_summary.csv,guided,10,1024,500.0,20.0,0.5,0.00025,0.3,2026086201,-0.14943396396278663,-0.17268482219472261,-1.422551652087156,0.5728838250019136,656.809411008243,21.64958500227113,41,0
experiments/entropy_ft_scgf_2026-08-27/timestep_convergence/n10_t20_N1024_dt0p00025_k0p3_run2_summary.csv,guided,10,1024,500.0,20.0,0.5,0.00025,0.3,2026086202,-0.1604403329163718,-0.18638546332775746,-1.3688435404333175,0.5877909680703389,666.4843648422278,21.073515816552113,39,0
experiments/entropy_ft_scgf_2026-08-27/timestep_convergence/n10_t20_N1024_dt0p00025_k0p3_run3_summary.csv,guided,10,1024,500.0,20.0,0.5,0.00025,0.3,2026086203,-0.16459781377757085,-0.17366448266167597,-1.4448953892703589,0.581576548891642,670.0171200286875,17.052234436999935,39,0
experiments/entropy_ft_scgf_2026-08-27/timestep_convergence/n10_t20_N1024_dt0p00025_k0p3_run4_summary.csv,guided,10,1024,500.0,20.0,0.5,0.00025,0.3,2026086204,-0.1601687914861419,-0.18348725232376892,-1.374821860336665,0.5839914770504626,649.445299618016,19.512747031895493,39,0
