theta1,theta3,density
-1.98968,-0.942478,0.0167342
-1.98968,-0.733038,0.0147078
-1.98968,-0.523599,0.0133644
-1.98968,-0.314159,0.0121019
-1.98968,-0.10472,0.0118046
-1.98968,0.10472,0.0115345
-1.98968,0.314159,0.0117786
-1.98968,0.523599,0.0129244
-1.98968,0.733038,0.0140535
-1.98968,0.942478,0.0161227
-1.98968,1.15192,0.0186586
-1.98968,1.36136,0.0217978
-1.98968,1.5708,0.02578
-1.98968,1.78024,0.030777
-1.98968,1.98968,0.036002
-1.98968,2.19911,0.041962
-1.98968,2.40855,0.0461786
-1.98968,2.61799,0.050689
-1.98968,2.82743,0.0540694
-1.98968,3.03687,0.0554742
-1.78024,-3.03687,0.0489768
-1.78024,-2.82743,0.0473486
-1.78024,-2.61799,0.0443192
-1.78024,-2.40855,0.041114
-1.78024,-2.19911,0.0365509
-1.78024,-1.98968,0.032434
-1.78024,-1.78024,0.0278203
-1.78024,-1.5708,0.0235051
-1.78024,-1.36136,0.0192737
-1.78024,-1.15192,0.0162079
-1.78024,-0.942478,0.013601
-1.78024,-0.733038,0.0120315
-1.78024,-0.523599,0.0108987
-1.78024,-0.314159,0.0103287
-1.78024,-0.10472,0.00992624
-1.78024,0.10472,0.00981927
-1.78024,0.314159,0.00992898
-1.78024,0.523599,0.0109325
-1.78024,0.733038,0.011938
-1.78024,0.942478,0.0135671
-1.78024,1.15192,0.0157408
-1.78024,1.36136,0.0180057
-1.78024,1.5708,0.0218817
-1.78024,1.78024,0.0257354
-1.78024,1.98968,0.0303661
-1.78024,2.19911,0.0355554
-1.78024,2.40855,0.0399313
-1.78024,2.61799,0.0436725
-1.78024,2.82743,0.0465823
-1.78024,3.03687,0.0482617
-1.5708,-3.03687,0.0415714
-1.5708,-2.82743,0.0404026
-1.5708,-2.61799,0.0381415
-1.5708,-2.40855,0.0345182
-1.5708,-2.19911,0.0313542
-1.5708,-1.98968,0.0275067
-1.5708,-1.78024,0.0236105
-1.5708,-1.5708,0.0196362
-1.5708,-1.36136,0.0158133
-1.5708,-1.15192,0.0134581
-1.5708,-0.942478,0.0112121
-1.5708,-0.733038,0.0101323
-1.5708,-0.523599,0.00940782
-1.5708,-0.314159,0.0087005
-1.5708,-0.10472,0.00815245
-1.5708,0.10472,0.00816542
-1.5708,0.314159,0.00851228
-1.5708,0.523599,0.0092659
-1.5708,0.733038,0.0102353
-1.5708,0.942478,0.0116268
-1.5708,1.15192,0.0133541
-1.5708,1.36136,0.0156508
-1.5708,1.5708,0.0187024
-1.5708,1.78024,0.0220353
-1.5708,1.98968,0.0255256
-1.5708,2.19911,0.0300798
-1.5708,2.40855,0.0338193
-1.5708,2.61799,0.0376782
-1.5708,2.82743,0.0397729
-1.5708,3.03687,0.0414746
-1.36136,-3.03687,0.0354474
-1.36136,-2.82743,0.0344023
-1.36136,-2.61799,0.0325688
-1.36136,-2.40855,0.0302667
-1.36136,-2.19911,0.0266293
-1.36136,-1.98968,0.0234734
-1.36136,-1.78024,0.019724
-1.36136,-1.5708,0.0164265
-1.36136,-1.36136,0.0133243
-1.36136,-1.15192,0.011264
-1.36136,-0.942478,0.00957565
-1.36136,-0.733038,0.00852858
-1.36136,-0.523599,0.00777082
-1.36136,-0.314159,0.00734903
-1.36136,-0.10472,0.00703924
-1.36136,0.10472,0.00694683
-1.36136,0.314159,0.00737819
-1.36136,0.523599,0.00762205
-1.36136,0.733038,0.00843246
-1.36136,0.942478,0.00959131
-1.36136,1.15192,0.0113121
-1.36136,1.36136,0.0133358
-1.36136,1.5708,0.0154502
-1.36136,1.78024,0.0185041
