T_run,rmse_nckde,rmse_plain
4.38171,0.00317274,0.00315205
4.46873,0.00276939,0.00273759
4.55575,0.00243032,0.00241359
4.64277,0.00202812,0.0020043
4.72979,0.00171585,0.00168816
4.81681,0.00137464,0.00134252
4.90383,0.00102137,0.00100022
4.99086,0.000785987,0.000760649
5.07788,0.000670286,0.000645179
5.1649,0.000601231,0.000577665
5.25192,0.000731069,0.000719451
5.33894,0.000938644,0.000928101
5.42596,0.00123711,0.00123717
5.51298,0.00148152,0.00147909
5.6,0.00167089,0.00167348
