Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.25 dt=0.0005 seed=2026086003
  time=2 psi=-0.0657069 weight ESS=902.762 roots=368
  time=4 psi=-0.101437 weight ESS=885.462 roots=212
  time=6 psi=-0.120078 weight ESS=873.084 roots=143
  time=8 psi=-0.153145 weight ESS=883.417 roots=93
  time=10 psi=-0.162681 weight ESS=859.897 roots=70
  time=12 psi=-0.165117 weight ESS=869.349 roots=62
  time=14 psi=-0.164224 weight ESS=878.644 roots=49
  time=16 psi=-0.157826 weight ESS=878.865 roots=46
  time=18 psi=-0.156521 weight ESS=868.129 roots=41
  time=20 psi=-0.154831 weight ESS=864.561 roots=35
