Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=1 dt=0.0005 seed=2026086101
  time=2 psi=-0.0270468 weight ESS=471.501 roots=406
  time=4 psi=-0.08333 weight ESS=417.811 roots=211
  time=6 psi=-0.100095 weight ESS=441.527 roots=140
  time=8 psi=-0.115301 weight ESS=429.879 roots=92
  time=10 psi=-0.129455 weight ESS=417.314 roots=74
  time=12 psi=-0.131658 weight ESS=444.659 roots=59
  time=14 psi=-0.140689 weight ESS=411.43 roots=48
  time=16 psi=-0.143035 weight ESS=409.775 roots=43
  time=18 psi=-0.153308 weight ESS=435.676 roots=39
  time=20 psi=-0.157132 weight ESS=387.177 roots=36
