Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=1 dt=0.0005 seed=2026086103
  time=2 psi=-0.0418142 weight ESS=439.199 roots=399
  time=4 psi=-0.108655 weight ESS=410.298 roots=215
  time=6 psi=-0.120309 weight ESS=418.997 roots=138
  time=8 psi=-0.122696 weight ESS=401.047 roots=102
  time=10 psi=-0.128252 weight ESS=452.996 roots=79
  time=12 psi=-0.13753 weight ESS=401.868 roots=66
  time=14 psi=-0.135191 weight ESS=433.677 roots=56
  time=16 psi=-0.1383 weight ESS=427.782 roots=49
  time=18 psi=-0.140353 weight ESS=398.243 roots=48
  time=20 psi=-0.155554 weight ESS=356.854 roots=43
