Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=1 dt=0.0005 seed=2026086102
  time=2 psi=-0.0557018 weight ESS=485.16 roots=418
  time=4 psi=-0.101986 weight ESS=445.493 roots=207
  time=6 psi=-0.112016 weight ESS=392.852 roots=131
  time=8 psi=-0.112865 weight ESS=416.93 roots=98
  time=10 psi=-0.121549 weight ESS=435.863 roots=78
  time=12 psi=-0.123867 weight ESS=407.288 roots=66
  time=14 psi=-0.13504 weight ESS=418.022 roots=56
  time=16 psi=-0.144603 weight ESS=391.572 roots=49
  time=18 psi=-0.152208 weight ESS=415.924 roots=45
  time=20 psi=-0.159837 weight ESS=376.878 roots=44
