Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.25 dt=0.0005 seed=2026086002
  time=2 psi=-0.0758175 weight ESS=903.098 roots=379
  time=4 psi=-0.109213 weight ESS=892.32 roots=215
  time=6 psi=-0.113529 weight ESS=884.48 roots=151
  time=8 psi=-0.124266 weight ESS=881.965 roots=109
  time=10 psi=-0.128731 weight ESS=878.199 roots=80
  time=12 psi=-0.14661 weight ESS=868.925 roots=69
  time=14 psi=-0.149895 weight ESS=885.171 roots=59
  time=16 psi=-0.155611 weight ESS=886.643 roots=49
  time=18 psi=-0.157645 weight ESS=871.64 roots=44
  time=20 psi=-0.15602 weight ESS=872.559 roots=39
