Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=1 dt=0.0005 seed=2026086104
  time=2 psi=-0.0533363 weight ESS=426.933 roots=387
  time=4 psi=-0.08856 weight ESS=408.799 roots=213
  time=6 psi=-0.114015 weight ESS=448.946 roots=143
  time=8 psi=-0.127711 weight ESS=402.328 roots=102
  time=10 psi=-0.138801 weight ESS=382.572 roots=86
  time=12 psi=-0.147295 weight ESS=377.843 roots=68
  time=14 psi=-0.144078 weight ESS=401.632 roots=58
  time=16 psi=-0.146465 weight ESS=386.763 roots=50
  time=18 psi=-0.150943 weight ESS=412.659 roots=44
  time=20 psi=-0.150783 weight ESS=400.77 roots=36
