Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.25 dt=0.0005 seed=2026086004
  time=2 psi=-0.0272374 weight ESS=898.836 roots=366
  time=4 psi=-0.0789138 weight ESS=894.537 roots=190
  time=6 psi=-0.123394 weight ESS=874.275 roots=128
  time=8 psi=-0.119953 weight ESS=891.321 roots=95
  time=10 psi=-0.122387 weight ESS=880.831 roots=81
  time=12 psi=-0.125833 weight ESS=882.386 roots=66
  time=14 psi=-0.139903 weight ESS=862.145 roots=54
  time=16 psi=-0.144174 weight ESS=862.398 roots=48
  time=18 psi=-0.150242 weight ESS=879.558 roots=43
  time=20 psi=-0.151003 weight ESS=872.325 roots=38
