dataset,samples_total,samples_supported,support_fraction,mean_total_entropy,std_total_entropy,log_mean_exp_minus_total_entropy,log_ift_stream_bootstrap_low,log_ift_stream_bootstrap_high,exponential_weight_ess,unique_streams,rms_energy_balance_error
equilibrium_parametric,524288,524176,0.999786376953125,-6.054384716749136e-08,0.008255437702902293,3.412986657025385e-05,3.339506407580295e-05,3.5008831114380355e-05,524140.2764106539,32,2.7796377956181854e-05
driven_parametric,1048576,1048298,0.9997348785400391,0.2614464429826534,0.8533414577449009,0.0021745642355153194,-0.0007441108798050599,0.005251087525952647,324604.26777004893,64,3.060145659549158e-05
equilibrium_exact_gibbs,524288,524288,1.0,-4.8881632223231625e-09,4.632731498641078e-06,4.8988937351168715e-09,-3.1557940705084775e-09,1.325366807414241e-08,524287.9999887475,32,2.7796377956181854e-05
