entropy_center,positive_count,negative_count,log_probability_ratio,poisson_standard_error,usable
0.9032491818041208,0,2,nan,nan,0
2.7097475454123696,1,0,nan,nan,0
4.516245909020618,3,0,nan,nan,0
6.32274427262886,7,0,nan,nan,0
8.129242636237102,17,0,nan,nan,0
9.935740999845343,23,0,nan,nan,0
11.742239363453592,39,0,nan,nan,0
13.548737727061841,72,0,nan,nan,0
15.355236090670083,85,0,nan,nan,0
17.161734454278324,149,0,nan,nan,0
18.968232817886573,228,0,nan,nan,0
20.774731181494815,282,0,nan,nan,0
22.581229545103056,346,0,nan,nan,0
24.387727908711312,418,0,nan,nan,0
26.194226272319554,522,0,nan,nan,0
28.000724635927796,656,0,nan,nan,0
29.807222999536037,714,0,nan,nan,0
31.61372136314428,794,0,nan,nan,0
33.420219726752535,892,0,nan,nan,0
35.22671809036078,1035,0,nan,nan,0
37.03321645396902,1136,0,nan,nan,0
38.83971481757726,1168,0,nan,nan,0
40.6462131811855,1203,0,nan,nan,0
42.45271154479376,1314,0,nan,nan,0
44.259209908402,1285,0,nan,nan,0
46.06570827201024,1272,0,nan,nan,0
47.87220663561848,1250,0,nan,nan,0
49.678704999226724,1336,0,nan,nan,0
51.48520336283498,1260,0,nan,nan,0
53.29170172644322,1239,0,nan,nan,0
55.09820009005146,1181,0,nan,nan,0
56.904698453659705,1154,0,nan,nan,0
58.71119681726795,1101,0,nan,nan,0
60.5176951808762,1070,0,nan,nan,0
62.324193544484444,921,0,nan,nan,0
64.13069190809269,898,0,nan,nan,0
65.93719027170093,799,0,nan,nan,0
67.74368863530917,727,0,nan,nan,0
69.55018699891743,679,0,nan,nan,0
71.35668536252567,644,0,nan,nan,0
73.16318372613391,539,0,nan,nan,0
74.96968208974215,515,0,nan,nan,0
76.77618045335039,428,0,nan,nan,0
78.58267881695865,391,0,nan,nan,0
80.38917718056689,341,0,nan,nan,0
82.19567554417513,322,0,nan,nan,0
84.00217390778337,256,0,nan,nan,0
85.80867227139161,235,0,nan,nan,0
87.61517063499987,201,0,nan,nan,0
89.42166899860811,176,0,nan,nan,0
91.22816736221635,163,0,nan,nan,0
93.0346657258246,145,0,nan,nan,0
94.84116408943284,114,0,nan,nan,0
96.6476624530411,104,0,nan,nan,0
98.45416081664933,90,0,nan,nan,0
100.26065918025758,70,0,nan,nan,0
102.06715754386582,50,0,nan,nan,0
103.87365590747406,38,0,nan,nan,0
105.68015427108232,38,0,nan,nan,0
107.48665263469056,37,0,nan,nan,0
