dataset,observable,first_quarter_mean,last_quarter_mean,last_minus_first,stream_standard_error,z_score,streams
equilibrium,log_action_1,0.2986293926103183,0.26166109909587354,-0.03696829351444468,0.020323011615273875,-1.819036184905831,64
equilibrium,log_action_2,0.2715336521113359,0.26055875428239006,-0.010974897828945873,0.015988292809545526,-0.6864333772016926,64
equilibrium,cos_theta,-0.27037589874986495,-0.25923781523412226,0.011138083515742655,0.009972503654671575,1.116879361636039,64
equilibrium,sin_theta,-0.01935693182209624,0.0077584737471831,0.027115405569279334,0.011496268842089562,2.358626606747902,64
equilibrium,energy,6.061387756022068,5.981220708801636,-0.08016704722043207,0.09796094596768119,-0.8183572180579023,64
driven,log_action_1,0.3373194378580565,0.30773254585150434,-0.029586892006552217,0.020513521321174604,-1.4423117095947753,64
driven,log_action_2,0.21868663094934937,0.2481054603346548,0.029418829385305472,0.018198951623139215,1.6165123131543822,64
driven,cos_theta,-0.2723113497237777,-0.27149591464755507,0.0008154350762226252,0.01071894945093789,0.07607416006157917,64
driven,sin_theta,0.028966280644810962,0.0457914639974512,0.016825183352640244,0.012029084029964117,1.3987086058031664,64
driven,energy,6.02665091981228,6.022723723532739,-0.003927196279540038,0.10082920539065937,-0.038948995624077845,64
