bc_label,temp_label,T1,Tn,n,burnin,measure,seeds,valid_trajectories,nonfinite_trajectories,discarded_trajectories,projection_count,mean_I_left,se_I_left,mean_I_right,se_I_right,mean_I_mid,se_I_mid_conservative,mid_sites,mean_sin_mid,se_sin_mid_conservative,mid_bonds,max_seed_z,median_seed_z,left_last_quarter_relative_change,right_last_quarter_relative_change,max_I_left_over_trajectories,max_I_right_over_trajectories,unstable_nonfinite
BC1,T10_T2,10,2,25,2000,2000,2026090750;2026090751,512,0,0,7879211,0.7372700269467471,0.0005985162473502014,0.16529411384508366,0.00016795799597525837,0.5707564147245776,0.0010631832148761857,13,0.031765281420492605,0.0004572004984728884,12;13,2.0418410387601744,0.6564275123351581,0.0018118379784599606,0.000841394262067365,16.55255889892578,6.57512092590332,False
BC1,T10_T2,10,2,50,8000,2000,2026091000;2026091001,512,0,0,28486375,0.5169271301450665,0.0007107586371306135,0.10636637138818558,0.00015630285223895146,0.4080060900005466,0.0013334567288677706,25;26,0.015712499833237543,0.0005345546275705388,25,2.551000338119227,0.6850756608067367,5.9509540802039126e-05,0.0005002107027223052,12.045125007629395,6.034988880157471,False
BC1,T10_T2,10,2,100,32000,2000,2026091500;2026091501,512,0,0,139662332,0.35821856669238417,0.0008583562192699261,0.07204993726195921,0.0001775198172679119,0.2971123050836545,0.0021921053689097024,50;51,0.006991754455731979,0.0006656806191487827,50,2.5791394456320096,0.7536010709164014,-0.00014462249031318338,-0.0001563440975375988,8.869110107421875,3.137805223464966,False
BC1,T4_T6,4,6,25,2000,2000,2026100750;2026100751,512,0,0,6621345,0.36491589071714126,0.0003325375559761717,0.5336882085715063,0.0004063762943827489,0.4595982885930664,0.0007990369120035102,13,-0.012729162205085355,0.0004883412814183049,12;13,1.8985961872011141,0.7046221894134441,-0.00040903175559205964,-0.00027244323303234275,8.224454879760742,9.41992473602295,False
BC1,T4_T6,4,6,50,8000,2000,2026101000;2026101001,512,0,0,23412028,0.2545474672113571,0.0003156633166883664,0.3789215542328944,0.00045904410740022275,0.3236610878340118,0.0009698972303826073,25;26,-0.007443228667662199,0.000636726973434095,25,2.9989759764579946,0.7758015248979694,-0.0007730311971167911,-0.0005997361401263274,5.212491512298584,7.698637008666992,False
BC1,T4_T6,4,6,100,32000,2000,2026101500;2026101501,512,0,0,113653924,0.17671086638840938,0.0003796848855294027,0.2646188046733938,0.0005706996504576618,0.2346179928522198,0.0016423595047138702,50;51,-0.004984033172128899,0.0007190258128020538,50,3.612086307308623,0.6423619721148653,-9.248362704270588e-06,0.00020122447135691372,4.929723739624023,7.030097961425781,False
BC1,T6_T6,6,6,25,2000,2000,2026110750;2026110751,512,0,0,7178037,0.4977233816581878,0.000385702750436162,0.49761523829737625,0.0003838057114146865,0.4942713075180065,0.0008331124965801086,13,0.0007555466615367719,0.00048326823031543515,12;13,2.5045204704508217,0.5214275660914636,-1.4125703291635655e-05,-0.0002832178260129282,10.060566902160645,9.948722839355469,False
BC1,T6_T6,6,6,50,8000,2000,2026111000;2026111001,512,0,0,25362163,0.3507754985025181,0.0004057932109882278,0.35077602550002107,0.00039670831310346276,0.3489364731639409,0.0009817899395195562,25;26,7.65215893881911e-05,0.0005748036623254314,25,2.622257769028258,0.7663885791157816,0.0002569214069442678,2.5963482487407025e-06,7.444982051849365,7.345922470092773,False
BC1,T6_T6,6,6,100,32000,2000,2026111500;2026111501,512,0,0,122987673,0.2428642166441334,0.0005136598009099629,0.2431969782199052,0.0005109406328777964,0.25662486999643297,0.0018385677966005925,50;51,0.0008523301658250508,0.0007026857806705246,50,2.626280867920562,0.6632669662285995,0.001250224744467601,0.0005878512156928073,5.634559154510498,6.129498481750488,False
BC2,T10_T2,10,2,25,2000,2000,2026190750;2026190751,512,0,0,7852119,0.7366067515004497,0.000570156349668209,0.1660749522212817,0.0001703965955314449,0.5678280438374768,0.0010284129145407927,13,0.032533665659315425,0.00044360533951511206,12;13,2.1741116921798835,0.7228844055982134,0.0005515968195589611,0.00028954693938462375,14.157163619995117,6.961978435516357,False
