n,tau,inverse_tau,k,psi_medium,psi_right,right_minus_medium,difference_ci_low,difference_ci_high,tau_times_difference,medium_reliability_gate,right_reliability_gate,paired_reliability_gate
30,160.0,0.00625,0.05,-0.013445856664668965,-0.013789685308506027,-0.00034382864383706267,-0.00035145329426685567,-0.00033720042432796394,-0.05501258301393003,1,1,1
30,160.0,0.00625,0.1,-0.022955246579048162,-0.02421565094050045,-0.001260404361452288,-0.0013030945763796448,-0.0012225585493578193,-0.20166469783236607,1,1,1
30,160.0,0.00625,0.2,-0.033812436567923695,-0.03840460257815649,-0.0045921660102327955,-0.004945136412640484,-0.004262039592211643,-0.7347465616372473,0,1,0
30,160.0,0.00625,0.3,-0.0372292631711678,-0.047025999767530954,-0.009796736596363154,-0.01109014791946127,-0.008558306692225709,-1.5674778554181046,0,0,0
30,180.0,0.005555555555555556,0.05,-0.01347685740225507,-0.013790989049578744,-0.0003141316473236743,-0.00032201861261660337,-0.0003070926762831365,-0.056543696518261376,1,1,1
30,180.0,0.005555555555555556,0.1,-0.02305891832753853,-0.02421717309867395,-0.0011582547711354203,-0.0011937529653318775,-0.0011198857611711525,-0.20848585880437565,1,1,1
30,180.0,0.005555555555555556,0.2,-0.03429695268283025,-0.03844497261475674,-0.00414801993192649,-0.004410955799969236,-0.003903642550143773,-0.7466435877467682,0,1,0
30,180.0,0.005555555555555556,0.3,-0.03894726389337039,-0.04723409797687831,-0.008286834083507923,-0.009187830577986396,-0.007468403641779266,-1.491630135031426,0,0,0
30,200.0,0.005,0.05,-0.013509252126815152,-0.013784510485689534,-0.00027525835887438205,-0.00028221587450654774,-0.00026829953818000745,-0.05505167177487641,1,1,1
30,200.0,0.005,0.1,-0.023187287323598635,-0.024195705902833285,-0.0010084185792346503,-0.0010516082811042535,-0.0009716755826963494,-0.20168371584693007,1,1,1
30,200.0,0.005,0.2,-0.03481593464766805,-0.03836075843696587,-0.003544823789297817,-0.0038887163779481623,-0.0032479874717989696,-0.7089647578595635,0,0,0
30,200.0,0.005,0.3,-0.04012278541467142,-0.04713477763924178,-0.007011992224570357,-0.00815351429217931,-0.005851669133081531,-1.4023984449140714,0,0,0
40,20.0,0.05,0.05,-0.007732615497876072,-0.009112952127818374,-0.0013803366299423026,-0.0013869818620351653,-0.001373729018251803,-0.02760673259884605,1,1,1
40,20.0,0.05,0.1,-0.010819087032071373,-0.016032858833667073,-0.0052137718015957,-0.0052394047511604026,-0.005188681614765122,-0.104275436031914,1,1,1
40,20.0,0.05,0.2,-0.0055257554477122104,-0.025070178831989233,-0.01954442338427702,-0.019669571522902825,-0.01942835049836274,-0.3908884676855404,1,1,1
40,20.0,0.05,0.3,0.013746268939960782,-0.029171534978843283,-0.042917803918804065,-0.043288409427465396,-0.04256068374230114,-0.8583560783760813,1,1,1
40,40.0,0.025,0.05,-0.008028109612092571,-0.009108354205318659,-0.0010802445932260873,-0.0010885080041597175,-0.0010738021676672809,-0.043209783729043494,1,1,1
40,40.0,0.025,0.1,-0.012044613225524702,-0.01605409312251673,-0.004009479896992029,-0.004038026923778936,-0.003985245242358507,-0.16037919587968116,1,1,1
40,40.0,0.025,0.2,-0.010733948210758636,-0.025384555798472253,-0.014650607587713617,-0.014772155842076966,-0.014530179229931882,-0.5860243035085446,1,1,1
40,40.0,0.025,0.3,0.001363823956860699,-0.030232339432611877,-0.031596163389472576,-0.032058581034510536,-0.03117335515804848,-1.263846535578903,1,1,1
40,60.0,0.016666666666666666,0.05,-0.008203996881217387,-0.009101381797312798,-0.0008973849160954107,-0.0009044913553269337,-0.0008903567030970487,-0.05384309496572464,1,1,1
40,60.0,0.016666666666666666,0.1,-0.012744100583554819,-0.016042750146270192,-0.0032986495627153733,-0.0033272188331754634,-0.0032725301131375775,-0.1979189737629224,1,1,1
40,60.0,0.016666666666666666,0.2,-0.013545298928352167,-0.025446482543149223,-0.011901183614797056,-0.0120588493906894,-0.011748900461968024,-0.7140710168878234,1,1,1
40,60.0,0.016666666666666666,0.3,-0.0047964874129210544,-0.0305579962256339,-0.025761508812712847,-0.026762060132141694,-0.024923862416816798,-1.545690528762771,0,1,0
40,80.0,0.0125,0.05,-0.0083533729553668,-0.009103809116979323,-0.0007504361616125221,-0.0007576757961877283,-0.0007428338647626002,-0.06003489292900177,1,1,1
40,80.0,0.0125,0.1,-0.01331102443235992,-0.0160558718365847,-0.0027448474042247803,-0.0027730208193370368,-0.002716270429059352,-0.21958779233798242,1,1,1
40,80.0,0.0125,0.2,-0.015789267506371173,-0.025544917677180257,-0.009755650170809083,-0.009894656202676162,-0.009625086349192043,-0.7804520136647266,1,1,1
40,80.0,0.0125,0.3,-0.010530125437646976,-0.03089064526479408,-0.020360519827147105,-0.02081427126597893,-0.019971094832338183,-1.6288415861717684,1,1,1
40,100.0,0.01,0.05,-0.008460668722839433,-0.00910347361133594,-0.0006428048884965058,-0.0006495456219252806,-0.0006359214857269299,-0.06428048884965058,1,1,1
40,100.0,0.01,0.1,-0.013704232209780792,-0.016050535265786578,-0.002346303056005786,-0.00237413190311176,-0.0023182259007117987,-0.2346303056005786,1,1,1
40,100.0,0.01,0.2,-0.017214336315006004,-0.025523920103370477,-0.008309583788364473,-0.00846214557605065,-0.008157929656420173,-0.8309583788364473,1,1,1
40,100.0,0.01,0.3,-0.013419653113513145,-0.030870870711765034,-0.01745121759825189,-0.01804795401039749,-0.0168228614492545,-1.7451217598251891,0,1,0
40,120.0,0.008333333333333333,0.05,-0.008540272144836599,-0.009105474223219338,-0.0005652020783827386,-0.0005727426494996641,-0.0005580567635482747,-0.06782424940592863,1,1,1
40,120.0,0.008333333333333333,0.1,-0.013999802042919523,-0.01606372913727549,-0.002063927094355966,-0.002092633987800455,-0.0020351712655762733,-0.2476712513227159,1,1,1
40,120.0,0.008333333333333333,0.2,-0.018282745208602926,-0.02560212963608688,-0.007319384427483953,-0.007512524636270878,-0.007121781097521326,-0.8783261312980744,1,1,1
40,120.0,0.008333333333333333,0.3,-0.015578805379572546,-0.031060514500606918,-0.015481709121034372,-0.01637666010593532,-0.014569486265149003,-1.8578050945241247,0,1,0
40,140.0,0.007142857142857143,0.05,-0.008604506789393389,-0.009098531013212697,-0.0004940242238193077,-0.0005007049684352611,-0.00048781502413933105,-0.06916339133470309,1,1,1
40,140.0,0.007142857142857143,0.1,-0.014244055597380293,-0.01603891430260245,-0.0017948587052221583,-0.00182489005214737,-0.0017687928324818139,-0.2512802187311022,1,1,1
40,140.0,0.007142857142857143,0.2,-0.019266297510640927,-0.025513041199764913,-0.006246743689123986,-0.006425720867209044,-0.0060775468211883565,-0.8745441164773581,1,1,1
40,140.0,0.007142857142857143,0.3,-0.01808917355076406,-0.03081064962800552,-0.012721476077241462,-0.013643942906164278,-0.011869473544065371,-1.7810066508138047,0,0,0
40,160.0,0.00625,0.05,-0.008658129001330183,-0.009099623145446555,-0.0004414941441163722,-0.00044905237318885083,-0.00043448470892839056,-0.07063906305861956,1,1,1
40,160.0,0.00625,0.1,-0.01442960983638043,-0.016040028683388153,-0.0016104188470077233,-0.0016438298111461714,-0.001578998423068808,-0.2576670155212357,1,1,1
40,160.0,0.00625,0.2,-0.019881905649751307,-0.025517366535246666,-0.0056354608854953595,-0.005830115117414213,-0.005439111833417832,-0.9016737416792575,1,1,1
40,160.0,0.00625,0.3,-0.019525198738105043,-0.030959885555474926,-0.011434686817369883,-0.012134035379926831,-0.01073578622009738,-1.8295498907791812,0,1,0
40,180.0,0.005555555555555556,0.05,-0.008699307498700785,-0.009099968312820216,-0.00040066081411943046,-0.0004088533556814394,-0.0003935110960320215,-0.07211894654149748,1,1,1
40,180.0,0.005555555555555556,0.1,-0.014552475202817158,-0.016031047853009087,-0.001478572650191929,-0.0015170885223590664,-0.001444112123078184,-0.2661430770345472,1,1,1
40,180.0,0.005555555555555556,0.2,-0.020072219079141442,-0.025468527760196365,-0.005396308681054923,-0.005776868239384486,-0.005068452101387529,-0.9713355625898862,0,1,0
40,180.0,0.005555555555555556,0.3,-0.01907699499519946,-0.030934417195351355,-0.011857422200151894,-0.013628514506050926,-0.010183070266077234,-2.134335996027341,0,0,0
40,200.0,0.005,0.05,-0.008747906534745269,-0.009104456579539394,-0.0003565500447941256,-0.00036464551975014763,-0.00034847615322681716,-0.07131000895882512,1,1,1
40,200.0,0.005,0.1,-0.014741261285039293,-0.016046657954265006,-0.0013053966692257134,-0.001337808019051904,-0.0012724147923978363,-0.2610793338451427,1,1,1
40,200.0,0.005,0.2,-0.020906115867143783,-0.025524005079266665,-0.004617889212122882,-0.004789575051220259,-0.004430077547892824,-0.9235778424245764,0,1,0
40,200.0,0.005,0.3,-0.021622604630409877,-0.03095225110579327,-0.009329646475383393,-0.009857444129292884,-0.008808745928202992,-1.8659292950766786,0,0,0
