n,samples,gauge_identity_rms,gauge_identity_max_abs
10,1000064,1.9417636845884496e-05,0.00040134335518193787
20,1000064,1.1428996922232427e-05,0.00027157298505153804
30,1000064,7.9734054619237e-06,0.00014673562844236265
40,1000064,6.10440168767781e-06,0.0001027068597809766
