case,mode,lambda_real,lambda_imag,bootstrap_matches,bootstrap_mean_real,ci95_real_low,ci95_real_high,bootstrap_mean_imag,ci95_imag_low,ci95_imag_high,dictionary_pass,lag_pass,timestep_pass,cutoff_pass,neighbour_separated,local_reportable,mutual_timestep_mode,reportable,dictionary_values_D1_D2_D3,lag_values_0p1_0p25_0p5_1p0,timestep_values_this_other,cutoff_values_1e8_1e10_1e12
equilibrium_dt1e-3,0,-0.95514893253253,0.0,500,-0.9521783741943183,-0.9723877492925629,-0.9328034542965307,0.0,0.0,0.0,True,True,True,True,True,True,0,True,-1.13570672+0i;-1.12315132+0i;-0.955148933+0i,-1.07183149+0i;-1.01639529+0i;-0.955148933+0i;-0.933484435+0i,-0.955148933+0i;-0.940758404+0i,-0.955148933+0i;-0.955148933+0i;-0.955148933+0i
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,500,-1.9897387627196135,-2.1655797541611563,-1.7354515237237136,0.001231204628562433,0.0,0.0,True,True,True,True,False,False,-1,False,-2.26389085+0i;-2.23710242+0i;-1.92624158+0i,-2.32853747+0i;-2.03534793+0i;-1.92624158+0i;-2.022541+0i,-1.92624158+0i;-1.79260575+0i,-1.92624158+0i;-1.92624158+0i;-1.92624158+0i
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,500,-2.1872263383377932,-2.4648421765813575,-2.0035580022923094,0.0026731097991723354,0.0,0.0,True,True,True,True,False,False,-1,False,-2.26389085+0i;-2.23710242+0i;-2.23997672+0i,-2.32853747+0i;-2.36688186+0i;-2.23997672+0i;-2.14145089+0.0482791558i,-2.23997672+0i;-2.15163943+0i,-2.23997672+0i;-2.23997672+0i;-2.23997672+0i
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,500,-2.8236831429421425,-2.9460749124695225,-2.705420218775778,0.008627826231958556,0.0,0.11745417435494714,True,True,True,True,True,True,4,True,-2.89023233+0i;-2.85041513+0i;-2.83381775+0i,-2.7461843+0i;-3.11253134+0i;-2.83381775+0i;-2.80119531+0.0337997428i,-2.83381775+0i;-2.8625377+0i,-2.83381775+0i;-2.83381775+0i;-2.83381775+0i
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,500,-3.087779184486795,-3.7524123637101616,-2.427502635910256,3.605480512571616,2.9148914840890376,4.282975037168487,False,False,False,True,False,False,-1,False,-3.8187879+4.5283945i;-3.85473216+4.4100582i;-2.98423537+3.61214646i,NA;NA;-2.98423537+3.61214646i;-3.03150697+3.14159265i,-2.98423537+3.61214646i;-3.80876512+4.18652155i,-2.98423537+3.61214646i;-2.98423537+3.61214646i;-2.98423537+3.61214646i
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,500,-0.937861655838633,-0.9548301923716082,-0.9229648524280497,5.3975751405121125e-05,0.0,0.0,True,True,True,True,True,True,0,True,-1.11210141+0i;-1.09799524+0i;-0.940758404+0i,-1.05180712+0i;-0.974842099+0i;-0.940758404+0i;-0.921234395+0i,-0.940758404+0i;-0.955148933+0i,-0.940758404+0i;-0.940758404+0i;-0.940758404+0i
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,500,-1.8531169904754172,-2.0528766638862717,-1.6205106797800386,0.002003923744947361,0.0,0.0,True,False,True,True,False,False,-1,False,-2.16653821+0i;-2.16607415+0i;-1.79260575+0i,-2.16384898+0i;-1.991749+0i;-1.79260575+0i;-1.74594677+0i,-1.79260575+0i;-1.92624158+0i,-1.79260575+0i;-1.79260575+0i;-1.79260575+0i
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,500,-2.1116766612101525,-2.454157625908019,-1.8331607964681482,0.004928923201642217,0.0,0.08088090712382572,True,True,True,True,True,True,-1,False,-2.16653821+0i;-2.16607415+0i;-2.15163943+0i,-2.16384898+0i;-1.991749+0i;-2.15163943+0i;-2.30453759+0.119176064i,-2.15163943+0i;-2.23997672+0i,-2.15163943+0i;-2.15163943+0i;-2.15163943+0i
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,500,-2.5050692481911465,-2.836740401525295,-2.299204892391333,0.00988534604317313,0.0,0.16373217496733336,True,False,True,True,False,False,-1,False,-2.79929022+0i;-2.81416782+0i;-2.54377109+0i,-2.16384898+0i;-2.69973426+0i;-2.54377109+0i;-2.59813421+0.14010149i,-2.54377109+0i;-2.83381775+0i,-2.54377109+0i;-2.54377109+0i;-2.54377109+0i
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,500,-2.842612313010089,-2.9312366651016064,-2.741556596584737,0.006300856366133408,0.0,0.08132290438424361,True,True,True,True,True,True,3,True,-2.79929022+0i;-2.81416782+0i;-2.8625377+0i,-2.96910423+0i;-2.69973426+0i;-2.8625377+0i;-2.85225537+0i,-2.8625377+0i;-2.83381775+0i,-2.8625377+0i;-2.8625377+0i;-2.8625377+0i
