case,replicate,reference_mode,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt1e-3,0,0,-0.9401735849314701,0.0,1,0.004288400062637865,0.6236094471759503,0.0,-0.9444619849941079,0.0,500,2.220446049250313e-16
driven_dt1e-3,0,1,-1.7527488199044507,0.0,1,0.10430712002530163,0.4385765763410771,0.0,-1.6484416998791491,0.0,500,2.220446049250313e-16
driven_dt1e-3,0,2,-2.2396104765324987,0.0,1,0.25835077125134553,0.3713427261514593,0.0,-1.9812597052811531,0.0,500,2.220446049250313e-16
driven_dt1e-3,0,3,-2.3174426658637897,0.0,1,0.3361829605826365,0.3713427261514593,0.0,-1.9812597052811531,0.0,500,2.220446049250313e-16
driven_dt1e-3,0,4,-2.6524200481523486,3.060159041643113,1,0.18639578435339257,0.031624210408197254,0.2528530414038846,-2.734372340471751,2.892745750031271,500,2.220446049250313e-16
driven_dt1e-3,0,5,-2.7189907205137063,0.0,1,0.009442989192421258,0.25800563178863456,0.0,-2.709547731321285,0.0,500,2.220446049250313e-16
driven_dt1e-3,0,6,-2.9604741803555354,5.370695425996387,1,0.043041478045873494,-0.201871798970484,0.10451621196638126,-2.9627644965648585,5.327714927115677,500,2.220446049250313e-16
driven_dt1e-3,1,0,-0.9401735849314701,0.0,1,6.758350191549134e-05,0.6249691435935683,0.0,-0.9401060014295546,0.0,500,2.3314683517128287e-15
driven_dt1e-3,1,1,-1.7527488199044507,0.0,1,0.09039287816803632,0.43553593538073415,0.0,-1.6623559417364144,0.0,500,2.3314683517128287e-15
driven_dt1e-3,1,2,-2.2396104765324987,0.0,1,0.15507251272516376,0.3526536088355382,0.0,-2.084537963807335,0.0,500,2.3314683517128287e-15
driven_dt1e-3,1,3,-2.3174426658637897,0.0,1,0.23290470205645475,0.3526536088355382,0.0,-2.084537963807335,0.0,500,2.3314683517128287e-15
driven_dt1e-3,1,4,-2.6524200481523486,3.060159041643113,1,0.4260846023388139,-0.013319906202846097,0.32290159609102514,-2.2591151450687934,3.224047239999982,500,2.3314683517128287e-15
driven_dt1e-3,1,5,-2.7189907205137063,0.0,1,0.17051824094515045,0.23580396386655403,0.0,-2.8895089614588567,0.0,500,2.3314683517128287e-15
driven_dt1e-3,1,6,-2.9604741803555354,5.370695425996387,1,0.1997147967142719,-0.18315384137277105,0.09559720301034831,-3.1539275088095096,5.321078798373162,500,2.3314683517128287e-15
driven_dt1e-3,2,0,-0.9401735849314701,0.0,1,0.010403998500033373,0.6282074747838582,0.0,-0.9297695864314367,0.0,500,1.7763568394002505e-15
driven_dt1e-3,2,1,-1.7527488199044507,0.0,1,0.09694431584025254,0.3965922644019956,0.0,-1.8496931357447033,0.0,500,1.7763568394002505e-15
driven_dt1e-3,2,2,-2.2396104765324987,0.0,1,0.19807724987211017,0.2955716907698861,0.0,-2.437687726404609,0.0,500,1.7763568394002505e-15
driven_dt1e-3,2,3,-2.3174426658637897,0.0,1,0.12024506054081918,0.2955716907698861,0.0,-2.437687726404609,0.0,500,1.7763568394002505e-15
driven_dt1e-3,2,4,-2.6524200481523486,3.060159041643113,1,0.4183365682243958,0.03971737500673467,0.2228895767643627,-2.9708985332129054,2.788908347879397,500,1.7763568394002505e-15
driven_dt1e-3,2,5,-2.7189907205137063,0.0,1,0.0341834290447518,0.2612170401586228,0.0,-2.6848072914689545,0.0,500,1.7763568394002505e-15
driven_dt1e-3,2,6,-2.9604741803555354,5.370695425996387,1,0.3958670606989835,-0.16294405027855563,0.1042911376890661,-3.2853520909772156,5.144498447819082,500,1.7763568394002505e-15
driven_dt1e-3,3,0,-0.9401735849314701,0.0,1,0.011535302589256835,0.6213539176053168,0.0,-0.9517088875207269,0.0,500,2.220446049250313e-15
driven_dt1e-3,3,1,-1.7527488199044507,0.0,1,0.2977221609311316,0.35871198222429146,0.0,-2.0504709808355823,0.0,500,2.220446049250313e-15
driven_dt1e-3,3,2,-2.2396104765324987,0.0,1,0.08258429905674314,0.34010084964946163,0.0,-2.1570261774757555,0.0,500,2.220446049250313e-15
driven_dt1e-3,3,3,-2.3174426658637897,0.0,1,0.16041648838803413,0.34010084964946163,0.0,-2.1570261774757555,0.0,500,2.220446049250313e-15
driven_dt1e-3,3,4,-2.6524200481523486,3.060159041643113,1,0.24216244637650938,0.022774854421394805,0.29716658196156825,-2.4210683201551286,2.988611656032204,500,2.220446049250313e-15
