Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.00025 seed=2026086202
  time=2 psi=-0.0193365 weight ESS=720.439 roots=406
  time=4 psi=-0.0885168 weight ESS=700.443 roots=225
  time=6 psi=-0.10144 weight ESS=680.28 roots=148
  time=8 psi=-0.119943 weight ESS=695.565 roots=113
  time=10 psi=-0.134416 weight ESS=703.799 roots=84
  time=12 psi=-0.141938 weight ESS=702.12 roots=69
  time=14 psi=-0.148206 weight ESS=714.583 roots=56
  time=16 psi=-0.153178 weight ESS=681.312 roots=46
  time=18 psi=-0.156036 weight ESS=702.425 roots=42
  time=20 psi=-0.16044 weight ESS=697.008 roots=39
