Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.00025 seed=2026086203
  time=2 psi=-0.0126555 weight ESS=727.549 roots=396
  time=4 psi=-0.0886113 weight ESS=701.408 roots=218
  time=6 psi=-0.122543 weight ESS=675.107 roots=136
  time=8 psi=-0.145602 weight ESS=687.087 roots=98
  time=10 psi=-0.154725 weight ESS=692.359 roots=82
  time=12 psi=-0.160042 weight ESS=684.398 roots=70
  time=14 psi=-0.16718 weight ESS=683.295 roots=60
  time=16 psi=-0.167393 weight ESS=706.601 roots=51
  time=18 psi=-0.164651 weight ESS=698.005 roots=45
  time=20 psi=-0.164598 weight ESS=702.992 roots=39
