Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.00025 seed=2026086201
  time=2 psi=-0.0276113 weight ESS=718.631 roots=398
  time=4 psi=-0.0662171 weight ESS=705.319 roots=221
  time=6 psi=-0.098557 weight ESS=704.112 roots=150
  time=8 psi=-0.111526 weight ESS=673.939 roots=107
  time=10 psi=-0.119022 weight ESS=680.389 roots=78
  time=12 psi=-0.129711 weight ESS=683.443 roots=66
  time=14 psi=-0.138517 weight ESS=684.546 roots=60
  time=16 psi=-0.13927 weight ESS=684.633 roots=50
  time=18 psi=-0.141941 weight ESS=700.924 roots=45
  time=20 psi=-0.149434 weight ESS=680.075 roots=41
