mode,n,clone_count,horizon,selection_time,dt,k,gauge_shift,control_scale,resample_threshold,independent_runs,mean_scgf,run_scgf_se,scgf_ci_low,scgf_ci_high,mean_late_half_scgf,late_half_scgf_se,late_half_ci_low,late_half_ci_high,minimum_weight_ess,minimum_final_unique_roots,minimum_final_root_weight_ess,support_gate
controlled_exact,30,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.04066677469452562,0.0028268485328726872,-0.049663068363562976,-0.031670481025488265,-0.04182519642261009,0.0032378369568516517,-0.05212943868305367,-0.031520954162166506,529.4842640950683,158,78.95903614457832,1
controlled_exact,30,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.038028936372248724,0.0023992648432950682,-0.04566446790819021,-0.03039340483630724,-0.051917324498411035,0.0038562184222956015,-0.06418953256881264,-0.03964511642800943,248.87952979484288,66,29.263674927439162,1
controlled_exact,30,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.04307644793359418,0.0021042754718289024,-0.0497731916342152,-0.036379704232973153,-0.045486121172662736,0.002636981119647145,-0.05387817199398669,-0.037094070351338784,509.924532874312,76,32.866599799398195,1
controlled_exact,30,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.04200906657493009,0.0028105521585414035,-0.05095349790768733,-0.033064635242172846,-0.04598919677761146,0.003736241177982037,-0.05787958371012924,-0.034098809845093676,243.1552953689061,31,15.219251647362768,1
controlled_exact,30,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.045081706620110566,0.0009305692152331073,-0.04804319318093993,-0.042120220059281205,-0.047140731954927066,0.0012942729711456367,-0.05125968618997807,-0.043021777719876066,509.924532874312,48,21.84260300795734,1
controlled_exact,30,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.04383511877025538,0.002215520373297396,-0.05088589339653646,-0.0367843441439743,-0.047841302851943004,0.0016111779219762602,-0.05296879007689104,-0.04271381562699497,243.1552953689061,18,6.520670613402318,1
controlled_exact,30,2048,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.04345565586853831,0.0007151297764860904,-0.04573151798351484,-0.04117979375356179,-0.04647798822431862,0.004320354645455977,-0.060227284903265295,-0.03272869154537194,1041.8938342572862,303,156.99595747866448,1
controlled_exact,30,2048,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.039249548184539164,0.0025238969155662013,-0.04728171459839977,-0.031217381770678558,-0.055198943218803295,0.004412380902927298,-0.06924110852082867,-0.04115677791677792,544.5305295924511,141,69.44901811438224,1
controlled_exact,30,2048,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.047813777991425555,0.001239436902489482,-0.05175821938238549,-0.04386933660046562,-0.052171900114312796,0.0019635050829886576,-0.05842064961107583,-0.045923150617549764,1041.8938342572862,147,70.06153743360171,1
controlled_exact,30,2048,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.04294250231969508,0.0014145438576300725,-0.04744421219307167,-0.0384407924463185,-0.046635456454851,0.0013200821158400136,-0.05083654690707715,-0.04243436600262485,442.4532396498149,58,27.34048627859984,1
controlled_exact,30,2048,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.048552014006316806,0.0011385301031660974,-0.052175324926592034,-0.04492870308604158,-0.0517449260938912,0.001665503493674419,-0.057045301533772456,-0.04644455065400994,1041.8938342572862,90,40.19996932985739,1
controlled_exact,30,2048,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.04497781983374783,0.0014878684855561472,-0.04971288139835406,-0.0402427582691416,-0.050573497111856505,0.0006096435882657728,-0.052513655096872815,-0.048633339126840196,442.4532396498149,39,16.503911230030695,1
controlled_exact,30,4096,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.04151683650845255,0.00034357858321838345,-0.04261025690119051,-0.040423416115714594,-0.04718878706423593,0.0015919231005408993,-0.0522549968538481,-0.04212257727462376,2169.6270094231277,633,323.2230570646938,1
controlled_exact,30,4096,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.036917035120221375,0.00351120557530668,-0.048091258330447674,-0.025742811909995077,-0.052508322712000455,0.005431698677470354,-0.06979441209953038,-0.035222233324470525,1112.1862982948728,271,113.29679501897596,1
controlled_exact,30,4096,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.046323228183120804,0.0009127341246147974,-0.04922795552570752,-0.043418500840534086,-0.051129619857789056,0.0016520579724444776,-0.05638720564830948,-0.045872034067268634,2147.901218343848,314,153.4772856175787,1
controlled_exact,30,4096,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.04317844745673235,0.0020820087030679335,-0.049804328361379414,-0.03655256655208528,-0.049439859793243314,0.0013866271402648777,-0.05385272621258539,-0.04502699337390124,1024.7668864609811,113,47.68638864886988,1
controlled_exact,30,4096,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.04838503075894942,0.0011602178064262015,-0.052077361630334856,-0.04469269988756398,-0.05179560480046626,0.001982973805691415,-0.05810631246186328,-0.04548489713906924,2136.307972031227,206,92.51596964884418,1
controlled_exact,30,4096,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.046048600262947784,0.0015847060700885929,-0.05109184224066189,-0.041005358285233676,-0.0512363077015682,0.0014229848163398334,-0.055764880472803716,-0.04670773493033269,1024.7668864609811,73,23.1214698764629,1
