Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.0005 seed=2026085303
  time=2 psi=-0.0292762 weight ESS=727.396 roots=391
  time=4 psi=-0.0805369 weight ESS=705.119 roots=229
  time=6 psi=-0.113758 weight ESS=689.528 roots=147
  time=8 psi=-0.147755 weight ESS=672.781 roots=112
  time=10 psi=-0.167518 weight ESS=681.787 roots=88
  time=12 psi=-0.17037 weight ESS=715.648 roots=74
  time=14 psi=-0.163249 weight ESS=707.037 roots=60
  time=16 psi=-0.165796 weight ESS=703.012 roots=52
  time=18 psi=-0.165327 weight ESS=709.824 roots=44
  time=20 psi=-0.165649 weight ESS=689.695 roots=41
