Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.0005 seed=2026085304
  time=2 psi=-0.0152217 weight ESS=726.686 roots=405
  time=4 psi=-0.076831 weight ESS=701.672 roots=234
  time=6 psi=-0.0918294 weight ESS=696.775 roots=153
  time=8 psi=-0.112704 weight ESS=704.301 roots=117
  time=10 psi=-0.145027 weight ESS=674.15 roots=97
  time=12 psi=-0.158452 weight ESS=688.282 roots=79
  time=14 psi=-0.16675 weight ESS=680.506 roots=67
  time=16 psi=-0.164502 weight ESS=694.484 roots=51
  time=18 psi=-0.167435 weight ESS=671.257 roots=43
  time=20 psi=-0.167566 weight ESS=709.534 roots=40
