Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.0005 seed=2026085302
  time=2 psi=-0.0254783 weight ESS=728.54 roots=400
  time=4 psi=-0.118999 weight ESS=719.32 roots=214
  time=6 psi=-0.12003 weight ESS=707.51 roots=139
  time=8 psi=-0.138964 weight ESS=694.244 roots=103
  time=10 psi=-0.14618 weight ESS=677.741 roots=83
  time=12 psi=-0.153602 weight ESS=695.598 roots=68
  time=14 psi=-0.16151 weight ESS=670.965 roots=56
  time=16 psi=-0.160341 weight ESS=679.057 roots=48
  time=18 psi=-0.157775 weight ESS=716.62 roots=44
  time=20 psi=-0.162965 weight ESS=679.579 roots=40
